Rent (weekly) Ranges (RNTD01),lga,$0 - $49,$50 - $74,$75 - $99,$100 - $119,$120 - $139,$140 - $159,$160 - $179,$180 - $199,$200 - $224,$225 - $249,$250 - $274,$275 - $299,$300 - $349,$350 - $449,$450 - $549,$550 and over,Not stated,Not applicable,
,Palm Island (S),72,115,64,17,9,3,0,0,0,0,0,0,0,0,0,0,36,58,
,Paroo (S),97,28,83,24,16,0,0,0,0,0,0,0,0,0,0,3,15,871,
,Peak Downs (S),431,45,9,30,16,6,5,8,9,3,10,0,0,4,0,7,27,623,
,Perry (S),18,3,0,7,4,5,3,0,0,0,0,0,0,0,0,0,0,199,
,Pine Rivers (S),245,239,230,273,383,429,483,556,1341,1206,1382,754,868,338,63,68,219,41640,
,Pittsworth (S),69,19,15,39,83,82,34,23,19,5,5,3,8,0,0,7,17,1462,
,Pormpuraaw (S),127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,
,Poruma (IC),21,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
,Quilpie (S),57,19,6,27,17,3,0,0,0,0,0,0,0,0,0,0,9,438,
,Redcliffe (C),164,580,299,386,495,714,772,797,1016,642,619,278,299,128,35,84,218,15844,
,Redland (S),325,501,291,326,348,394,455,556,1216,1220,1675,892,1195,696,134,147,320,39642,
,Richmond (S),62,9,9,14,3,0,0,3,0,0,0,0,0,0,0,0,17,338,
,Rockhampton (C),352,453,353,567,842,1133,1027,727,583,246,257,85,114,66,12,49,244,17028,
,Roma (T),77,122,59,84,145,95,67,43,73,26,29,8,12,17,3,12,37,1921,
,Rosalie (S),94,26,42,61,47,64,58,48,37,13,20,3,5,3,0,6,18,3092,
,Saibai (IC),3,58,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,27,
,St Pauls (IC),48,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,
,Sarina (S),98,46,28,61,92,110,90,60,109,49,76,20,65,39,13,8,45,3495,
,Seisia (IC),22,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,
,Stanthorpe (S),98,47,70,165,205,196,88,40,20,0,3,0,0,0,0,8,36,3784,
,Tambo (S),41,12,4,11,3,0,0,0,0,0,0,0,0,0,0,0,7,212,
,Tara (S),164,44,58,45,23,23,0,0,0,0,0,0,0,0,0,0,26,1437,
,Taroom (S),137,24,28,34,13,3,0,0,0,0,0,0,0,0,0,0,18,1046,
,Thuringowa (C),167,189,202,242,388,558,429,485,690,523,674,430,429,71,20,40,184,16178,
,Tiaro (S),44,7,14,30,44,52,49,25,19,0,0,0,0,0,0,0,18,2209,
,Toowoomba (C),324,510,390,720,1171,1359,1423,1474,1577,938,696,285,284,86,23,74,268,26168,
,Torres (S),171,72,44,37,54,54,22,19,35,16,22,6,11,5,3,9,72,411,
,Townsville (C),459,653,429,660,1095,1490,1334,1281,1462,819,959,545,929,420,162,227,482,27729,
,Ugar (IC),10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
