Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Hume (C),171,90,249,483,1048,592,941,855,1229,1284,1977,2877,2417,3140,1557,645,454,263,1628,28569,
,Indigo (S),12,11,45,66,132,75,130,115,180,117,230,241,149,174,102,39,27,29,155,4154,
,Kingston (C),118,83,204,397,805,441,725,675,859,976,1199,1959,1694,2767,2046,1041,651,337,1394,38360,
,Knox (C),175,127,268,560,1183,587,1054,1016,1400,1468,1897,2851,2313,3422,1778,754,470,297,1721,30329,
,Latrobe (C),65,65,223,521,1068,523,926,607,828,569,829,776,430,509,233,95,66,64,633,21250,
,Loddon (S),5,3,46,113,146,44,73,37,50,32,32,28,15,19,11,10,4,6,101,3296,
,Macedon Ranges (S),45,29,98,160,351,170,332,271,345,347,505,707,519,742,472,228,161,96,469,9236,
,Manningham (C),99,58,154,238,532,229,372,349,451,590,631,1057,937,1671,1652,965,813,563,1236,28474,
,Mansfield (S),9,0,15,42,90,29,68,36,70,62,81,91,53,66,44,25,7,7,96,4302,
,Maribyrnong (C),54,36,75,152,346,154,286,257,342,366,493,729,647,1178,923,432,274,138,572,20438,
,Maroondah (C),104,92,184,395,783,394,693,662,887,929,1238,1789,1527,2146,1125,451,265,160,1100,25066,
,Melbourne (C),23,12,25,70,111,66,110,98,157,194,211,489,416,782,713,474,367,335,445,36133,
,Melton (S),65,31,141,255,613,296,620,545,843,890,1224,1872,1613,2368,1350,523,302,201,994,13182,
,Mildura (RC),28,32,91,209,462,280,427,387,565,489,694,699,394,471,201,100,67,52,548,15032,
,Mitchell (S),23,15,78,112,279,137,278,229,315,273,392,576,414,555,313,141,80,51,357,7493,
,Moira (S),15,11,44,138,284,133,241,189,287,230,307,283,173,214,121,55,49,47,375,9148,
