Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Roebourne (S),8,3,38,78,32,20,24,26,40,33,37,69,83,199,129,114,64,27,96,5880,
,Sandstone (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
,Serpentine-Jarrahdale (S),9,10,15,36,90,66,73,73,131,102,160,223,181,299,214,116,82,44,193,2495,
,Shark Bay (S),0,0,4,0,4,6,3,4,8,0,10,0,3,3,0,0,0,0,14,875,
,South Perth (C),27,21,50,83,168,84,125,143,161,214,264,421,362,582,531,320,309,209,371,14772,
,Stirling (C),171,99,328,555,1118,582,1023,989,1271,1272,1706,2510,1759,2763,2128,1210,1023,574,1717,60829,
,Subiaco (C),16,14,20,34,62,25,43,46,61,75,65,113,105,183,212,157,172,137,132,7066,
,Swan (C),79,46,168,336,785,415,837,765,1124,1049,1557,2027,1461,2067,1040,486,296,162,1080,19157,
,Tambellup (S),0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,261,
,Tammin (S),0,0,3,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,165,
,Three Springs (S),0,0,3,3,13,5,8,3,7,0,0,0,0,0,0,0,0,0,12,295,
,Toodyay (S),3,3,23,24,57,32,42,35,45,50,49,69,51,66,29,14,4,7,54,1362,
,Trayning (S),0,0,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,201,
,Upper Gascoyne (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,
,Victoria Park (T),21,17,26,52,137,68,145,134,178,195,271,362,358,483,354,168,102,53,212,11051,
,Victoria Plains (S),0,0,3,20,10,0,0,3,0,3,0,3,0,0,0,0,0,0,13,398,
,Vincent (T),20,7,25,58,124,71,111,100,152,156,192,323,314,530,465,318,230,116,212,10413,
,Wagin (S),0,3,10,21,34,13,20,10,10,8,14,5,3,3,4,0,0,3,22,707,
,Wandering (S),0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,167,
,Wanneroo (C),115,48,213,395,860,487,844,799,1156,1113,1670,2394,1978,3066,1666,682,412,260,1303,22169,
,Waroona (S),3,0,9,11,33,20,27,30,29,29,46,39,45,44,23,9,4,3,47,1305,
,West Arthur (S),0,0,0,3,8,3,5,0,0,0,4,0,0,0,0,0,3,0,22,412,
,Westonia (S),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,125,
,Wickepin (S),0,0,0,10,0,3,5,3,3,0,0,0,0,0,0,0,0,3,15,334,
,Williams (S),0,0,0,4,18,5,4,0,11,3,4,8,0,0,0,0,0,0,23,368,
,Wiluna (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157,
,Wongan-Ballidu (S),0,0,3,17,23,19,15,4,9,4,8,11,3,3,0,3,0,0,17,547,
,Woodanilling (S),0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,3,11,151,
,Unincorporated WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
,Wyalkatchem (S),0,0,4,9,8,0,3,0,3,0,0,0,0,0,0,0,0,3,6,272,
,Wyndham-East Kimberley (S),0,0,0,9,14,16,24,17,21,14,26,30,27,48,36,12,12,9,36,2958,
,Yalgoo (S),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82,
,Yilgarn (S),0,0,3,11,22,10,7,5,11,7,0,3,3,3,0,0,0,0,11,638,
,York (S),0,3,8,12,45,13,35,38,32,32,30,37,21,35,17,3,4,10,40,1144,
,Break O'Day (M),3,13,35,60,74,42,44,28,34,26,42,35,12,18,17,4,7,4,51,3702,
,Brighton (M),9,12,55,114,191,109,207,128,161,135,185,193,139,159,42,17,11,4,115,3100,
,Burnie (C),9,14,95,159,331,137,258,155,206,134,220,160,78,85,39,21,12,12,142,6023,
,Central Coast (M),18,15,74,180,327,143,283,206,244,148,214,196,111,121,59,23,23,18,201,6273,
,Central Highlands (M),0,0,9,23,30,15,16,15,13,7,3,9,0,5,0,0,4,7,41,2424,
,Circular Head (M),6,8,21,56,164,73,127,70,104,60,70,66,30,40,11,11,12,10,103,2724,
,Clarence (C),74,60,247,328,619,334,574,459,524,451,640,636,490,571,330,129,90,66,413,13743,
,Derwent Valley (M),6,12,45,87,187,79,118,96,118,93,118,92,55,44,33,11,8,9,88,2630,
,Devonport (C),20,17,78,129,347,168,311,189,295,201,256,235,119,124,73,22,15,16,175,7662,
,Dorset (M),8,8,29,62,109,61,72,51,68,43,47,57,37,40,17,0,7,8,79,2842,
,Flinders (M),0,0,4,3,10,3,3,9,7,3,6,0,3,0,0,0,3,0,14,553,
,George Town (M),4,3,29,74,116,42,83,47,55,44,51,65,28,37,18,11,0,3,55,2528,
,Glamorgan/Spring Bay (M),0,0,14,42,73,17,32,25,22,18,30,26,17,18,13,3,3,3,36,3244,
,Glenorchy (C),46,64,200,250,598,320,536,421,502,413,633,590,312,309,126,47,30,25,339,13576,
,Hobart (C),52,36,94,178,376,183,350,307,352,309,447,550,418,604,401,218,172,116,372,16937,
,Huon Valley (M),17,14,66,136,269,113,177,111,141,126,155,120,81,67,48,19,7,10,161,4683,
,Kentish (M),7,3,32,77,102,64,72,38,50,48,53,46,37,33,17,5,3,9,79,1649,
,King Island (M),3,3,3,12,31,8,14,3,11,4,3,7,3,3,0,0,0,0,30,734,
,Kingborough (M),39,26,101,176,366,190,329,244,337,283,425,454,359,415,242,110,54,30,301,8655,
,Latrobe (M),3,0,27,49,123,59,104,66,107,84,86,89,52,72,33,13,13,6,92,2940,
,Launceston (C),33,74,199,345,853,443,773,528,656,572,756,699,437,466,218,89,64,44,463,20036,
,Meander Valley (M),10,14,55,128,285,106,204,159,231,144,235,246,131,183,74,45,13,15,210,5331,
,Northern Midlands (M),12,10,46,80,207,90,136,82,141,96,124,138,60,79,46,12,9,11,128,3844,
,Sorell (M),13,15,39,134,246,108,204,133,191,149,211,156,102,103,36,15,8,19,120,3803,
,Southern Midlands (M),5,4,30,60,112,47,87,52,56,51,56,59,38,24,12,11,3,5,93,1573,
,Tasman (M),0,0,9,25,52,22,15,17,25,13,11,17,5,9,3,0,0,3,25,1882,
,Waratah/Wynyard (M),18,15,60,115,231,99,187,123,158,90,111,116,75,58,37,16,13,8,108,4451,
,West Coast (M),7,12,45,60,103,27,39,11,10,17,16,16,5,6,7,0,3,6,39,2601,
,West Tamar (M),21,14,54,140,303,140,230,186,239,195,227,274,177,204,92,55,23,17,199,6236,
,Unincorporated Tas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
,Alice Springs (T),11,5,13,46,111,64,122,132,203,180,388,462,334,457,231,101,67,39,207,7065,
,Alpurrurulam (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,
,Angurugu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
,Anmatjere (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,
,Arltarlpilta (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
,Belyuen (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,
,Binjari (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
,Borroloola (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,
,Coomalie (CGC),0,0,3,3,16,3,8,3,6,7,6,10,5,0,4,0,0,0,12,481,
,Cox Peninsula (CGC),0,0,0,0,6,3,4,4,6,7,10,4,0,9,3,0,0,0,7,126,
,Daguragu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,
,Darwin (C),31,28,90,148,270,124,290,277,432,446,659,1008,741,1210,719,413,261,158,556,20576,
,Elliott District (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,
,Jabiru (T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,641,
,Jilkminggan (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,
,Katherine (T),0,0,9,4,35,25,50,60,64,50,97,73,50,48,30,7,10,7,61,2937,
,Kunbarllanjnja (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,
,Lajamanu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,
,Litchfield (S),4,0,17,53,91,56,123,89,140,113,191,336,236,372,219,109,70,39,204,3771,
,Ltyentye Purte (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,
,Marngarr (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,
,Mataranka (CGC),0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,245,
,Nauiyu Nambiyu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,
,Numbulwar Numburindi (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,
,Nyirranggulung Mardrulk Ngadberre (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,
,Palmerston (C),16,6,18,30,83,75,112,138,193,204,337,515,411,508,307,149,70,42,158,5437,
,Pine Creek (CGC),0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,159,
,Tapatjatjaka (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,
,Tennant Creek (T),0,3,5,9,26,12,24,13,13,9,9,8,3,4,3,0,0,0,16,1102,
,Thamarrurr (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,
,Timber Creek (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,
,Tiwi Islands (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,
,Walangeri Ngumpinku (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,
,Wallace Rockhole (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,
,Watiyawanu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,
,Yuendumu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,
,Yugul Mangi (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,
,Unincorporated NT,3,10,5,7,19,3,10,14,6,12,12,21,12,11,16,0,7,3,53,10050,
,Unincorporated ACT,419,217,601,891,1695,851,1533,1472,2044,2149,3103,4528,4204,7483,5592,2990,2024,1041,2467,86275,
,Unincorporated OT,0,0,0,0,3,3,6,3,0,3,11,4,3,8,3,0,4,3,9,942,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
