lga,Other Religions,Not stated,Supplementary codes,Buddhism,Christianity,Hinduism,Islam,Judaism,No Religion
Boulia (S),0,46,0,0,286,0,0,0,82
Bowen (S),18,2012,66,81,8027,19,64,6,2080
Brisbane (C),5777,104467,7628,24904,615652,8084,10868,1443,177300
Broadsound (S),6,1197,16,15,4457,7,4,4,1128
Bulloo (S),0,29,0,3,282,0,0,0,57
Bundaberg (C),113,5403,209,193,32279,52,150,9,7391
Bungil (S),0,169,9,5,1653,0,0,0,218
Burdekin (S),18,1339,54,35,13984,0,9,6,1570
Burke (S),0,124,3,4,284,0,0,0,85
Burnett (S),63,3079,112,108,18003,14,51,13,4849
Caboolture (S),549,16589,711,623,85870,229,194,64,27649
Cairns (C),775,18490,1245,1688,76940,205,392,113,27593
Calliope (S),30,1886,78,54,10717,21,6,0,3742
Caloundra (C),280,10269,671,621,57210,96,88,42,18319
Cambooya (S),10,374,26,9,4666,0,0,0,731
Cardwell (S),75,1137,64,51,6300,12,6,0,1887
Carpentaria (S),0,315,9,8,1299,0,0,0,308
Charters Towers (C),18,802,32,24,5710,0,22,0,1372
Cherbourg (S),4,96,3,0,945,0,4,0,76
Chinchilla (S),8,500,31,12,4786,3,4,0,601
Clifton (S),4,234,12,0,2058,0,9,0,300
Cloncurry (S),10,411,13,3,2258,6,4,0,430
Cook (S),21,773,34,24,1774,4,0,0,833
Cooloola (S),137,4262,262,162,23196,29,31,14,7990
Crow's Nest (S),32,1024,74,35,9762,10,7,6,1674
Croydon (S),0,34,0,0,169,0,0,0,46
Dalby (T),5,987,37,11,7794,13,11,0,925
Dalrymple (S),3,462,14,8,2526,0,0,0,496
Dauan (IC),0,3,0,0,143,0,0,0,4
Diamantina (S),0,36,0,0,184,0,0,0,60
Doomadgee (S),13,242,0,0,524,0,0,0,302
Douglas (S),46,1576,124,114,5795,3,6,7,2523
Duaringa (S),11,1080,19,26,4348,6,5,0,1259
Eacham (S),37,909,34,34,3688,12,11,3,1622
Eidsvold (S),0,133,3,0,635,0,0,0,96
Emerald (S),36,1678,67,59,10124,25,29,0,2341
Erub (IC),0,12,22,0,262,0,0,0,16
Esk (S),57,1914,80,93,10233,8,7,6,2761
Etheridge (S),5,116,10,0,570,0,0,0,147
Fitzroy (S),25,1373,28,11,7483,11,4,3,1633
Flinders (S),0,182,6,3,1369,0,7,0,225
Gatton (S),34,1827,95,112,11410,26,133,0,2003
Gayndah (S),10,295,7,10,2058,4,0,0,401
Gladstone (C),82,3423,153,98,19149,50,29,4,6090
Gold Coast (C),1937,61686,3496,5670,302651,1311,2847,1162,91528
Goondiwindi (T),6,643,5,7,3653,0,3,3,386
Hammond (IC),0,5,0,0,189,0,0,0,15
Herberton (S),32,977,51,37,2950,3,10,3,1362
Hervey Bay (C),177,5502,255,242,35243,59,63,16,10670
Hinchinbrook (S),25,697,29,32,9688,10,9,0,1072
Hope Vale (S),0,32,3,0,721,0,0,0,22
Iama (IC),0,111,4,0,188,0,0,0,10
Ilfracombe (S),0,20,3,0,209,0,0,0,38
Inglewood (S),0,233,7,7,2056,0,7,0,224
Injinoo (S),0,28,7,0,354,0,0,0,30
Ipswich (C),518,16200,905,1663,95122,329,336,44,25057
Isis (S),30,858,39,52,4266,3,0,8,1044
Isisford (S),0,27,0,0,203,0,0,0,36
Jericho (S),0,69,0,0,722,0,3,0,120
Johnstone (S),297,2427,98,137,12518,9,17,9,2742
Jondaryan (S),32,1308,33,15,11383,0,8,5,1306
Kilcoy (S),24,360,13,8,2377,0,3,0,644
Kilkivan (S),22,458,16,12,2349,0,0,0,595
Kingaroy (S),55,1477,58,49,8681,10,12,3,1878
Kolan (S),25,606,31,22,2909,9,5,3,953
Kowanyama (S),39,85,4,0,809,0,0,0,89
Kubin (IC),0,9,13,0,170,0,0,0,4
Laidley (S),53,1704,71,69,10032,7,9,8,2528
Livingstone (S),96,3853,153,137,19475,19,19,0,5119
Lockhart River (S),0,26,11,0,464,0,0,0,54
Logan (C),903,20887,1177,2640,110726,903,2251,112,33662
Longreach (S),5,407,10,3,2713,0,0,0,369
Mabuiag (IC),0,21,0,0,219,0,0,0,3
Mackay (C),157,10778,422,274,59007,88,185,24,13953
McKinlay (S),0,99,3,3,662,0,4,0,129
Mapoon (S),0,51,0,0,121,0,0,0,64
Mareeba (S),64,2958,157,160,11288,16,118,6,3433
Maroochy (S),548,16922,1274,1343,89800,137,169,124,32515
Maryborough (C),68,3231,100,71,17563,36,32,9,4593
Mer (IC),0,21,4,0,431,0,0,0,28
Millmerran (S),4,297,13,3,2444,0,0,0,334
Mirani (S),20,829,19,8,3652,3,0,0,872
Miriam Vale (S),28,877,36,29,2891,4,6,0,1265
Monto (S),0,273,7,8,1820,0,0,0,334
Mornington (S),24,80,0,0,818,8,0,0,108
Mount Isa (C),49,3661,92,57,12105,31,42,4,3620
Mount Morgan (S),19,411,18,18,1994,3,11,0,516
Mundubbera (S),3,260,3,3,1548,0,3,3,293
Murgon (S),10,375,15,7,2593,6,0,0,448
Murilla (S),3,252,6,9,2074,0,8,0,339
Murweh (S),3,434,19,18,3655,12,4,0,434
Nanango (S),68,1094,49,48,5894,3,10,0,1846
Napranum (S),0,71,5,0,589,0,0,0,171
Nebo (S),4,580,14,7,1532,0,6,0,382
New Mapoon (S),0,32,4,0,250,0,0,0,52
Noosa (S),264,6280,474,441,26387,42,47,67,11822
Palm Island (S),3,224,5,0,1648,0,0,0,101
Paroo (S),0,163,6,4,1579,0,0,0,173
Peak Downs (S),6,399,11,5,2134,0,0,3,631
Perry (S),0,31,7,0,310,0,0,0,82
Pine Rivers (S),515,13847,714,683,97160,631,253,58,27281
Pittsworth (S),3,341,8,9,4023,0,0,5,395
Pormpuraaw (S),0,27,0,0,530,0,0,0,38
Poruma (IC),0,8,31,0,122,0,0,0,12
Quilpie (S),0,97,3,3,752,0,0,0,127
Redcliffe (C),219,5815,359,327,34934,124,87,27,9290
Redland (S),506,13077,660,780,88098,265,450,80,23712
Richmond (S),0,145,0,0,651,0,0,0,108
Rockhampton (C),163,6840,283,312,41807,200,126,7,9017
Roma (T),10,528,31,14,5132,3,4,0,780
Rosalie (S),19,864,49,28,6850,7,3,0,1216
Saibai (IC),0,51,0,0,269,0,0,0,18
St Pauls (IC),0,9,39,0,182,0,4,0,6
Sarina (S),12,1361,38,24,7371,12,17,3,1883
Seisia (IC),3,16,0,0,133,0,0,0,12
Stanthorpe (S),51,1021,62,30,7468,11,16,0,1457
Tambo (S),0,46,0,0,448,0,0,0,61
Tara (S),9,448,15,9,2592,5,3,0,593
Taroom (S),0,191,0,0,2008,0,0,0,186
Thuringowa (C),203,6033,431,232,40196,51,48,10,11961
Tiaro (S),29,872,34,34,3120,0,0,7,1227
Toowoomba (C),351,8285,532,603,68305,332,321,23,11454
Torres (S),44,407,18,9,2408,0,14,0,336
Townsville (C),446,12162,935,732,62014,255,273,50,18592
Ugar (IC),0,6,0,0,67,0,0,0,0
Umagico (S),0,26,0,0,187,0,0,0,10
Waggamba (S),3,251,4,0,2357,0,0,3,255
Wambo (S),3,452,16,6,4197,0,0,0,557
Warraber (IC),0,14,28,0,206,0,0,0,0
Warroo (S),0,85,13,0,838,0,0,0,100
Warwick (S),73,1924,97,68,16736,10,10,3,2602
Weipa (T),16,453,23,20,1648,3,4,0,662
Whitsunday (S),46,2760,138,116,10139,16,23,14,3700
Winton (S),0,198,0,0,1046,0,0,0,135
Wondai (S),23,577,15,10,3014,6,0,0,743
Woocoo (S),5,391,11,3,2267,0,0,3,754
Woorabinda (S),4,111,7,0,648,0,0,0,83
Wujal Wujal (S),3,8,0,0,291,0,0,0,17
Yarrabah (S),0,80,6,0,2137,0,0,0,147
Yorke (IC),0,13,25,0,252,0,0,0,8
Unincorporated Qld,0,12,4,0,61,0,0,0,30
No Usual Address,113,2363,183,159,6725,27,50,20,3172
Adelaide (C),157,3235,240,880,7143,332,297,32,4355
