lga,Bachelor Degree Level,Advanced Diploma and Diploma Level,Level of education not stated,Level of education inadequately described,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Certificate Level,Not applicable,
Rosalie (S),328,385,612,94,36,44,1263,6260,
Saibai (IC),0,8,32,7,0,3,39,256,
St Pauls (IC),8,13,29,5,3,3,30,157,
Sarina (S),320,301,1005,89,40,42,1783,7145,
Seisia (IC),6,11,13,0,0,0,37,98,
Stanthorpe (S),504,420,857,122,70,72,1229,6853,
Tambo (S),40,22,29,3,0,3,59,390,
Tara (S),142,121,322,20,11,11,417,2629,
Taroom (S),103,80,145,6,0,7,206,1843,
Thuringowa (C),3087,2449,3918,514,371,309,9630,38886,
Tiaro (S),140,178,550,52,20,13,838,3525,
Toowoomba (C),7087,4525,7287,872,1406,924,12004,56108,
Torres (S),197,134,335,29,24,24,416,2072,
Townsville (C),8627,4497,9544,902,1770,861,13980,55274,
Ugar (IC),0,0,7,0,0,0,11,48,
Umagico (S),0,3,20,3,0,0,16,186,
Waggamba (S),166,133,208,19,16,16,315,1999,
Wambo (S),220,204,336,36,20,31,628,3753,
Warraber (IC),4,7,14,3,0,0,39,175,
Warroo (S),63,59,58,5,0,4,104,739,
Warwick (S),1015,815,1724,209,123,137,2886,14640,
Weipa (T),201,121,248,20,22,32,546,1643,
Whitsunday (S),964,898,2279,229,91,104,3335,9063,
Winton (S),52,47,174,8,3,9,150,934,
Wondai (S),162,155,408,41,12,12,588,3022,
Woocoo (S),139,138,250,35,4,20,514,2339,
Woorabinda (S),20,8,89,0,0,0,34,690,
Wujal Wujal (S),4,8,10,0,0,0,27,270,
Yarrabah (S),26,22,104,10,5,9,156,2044,
Yorke (IC),5,11,4,0,0,0,37,238,
Unincorporated Qld,4,13,15,7,0,0,29,40,
No Usual Address,995,665,1873,217,174,111,2180,6592,
Adelaide (C),3585,1193,2661,201,1053,382,1178,6416,
Adelaide Hills (DC),4780,2907,2332,507,1253,813,5193,20066,
Alexandrina (DC),1110,1160,2162,280,164,178,3305,12348,
Anangu Pitjantjatjara (AC),77,34,129,13,6,17,96,1866,
Barossa (DC),1278,1126,1392,270,151,193,3213,12923,
Barunga West (DC),82,76,248,22,3,5,326,1772,
Berri and Barmera (DC),465,381,892,107,47,59,1459,7530,
Burnside (C),8101,3313,3333,570,2397,1027,3403,19813,
Campbelltown (C),4747,2770,3470,452,801,594,5908,27420,
Ceduna (DC),127,121,363,18,11,26,406,2496,
Charles Sturt (C),8178,5492,9103,932,1326,981,13996,60525,
Clare and Gilbert Valleys (DC),546,395,605,94,63,95,1142,5203,
Cleve (DC),90,82,118,18,3,14,265,1315,
Coober Pedy (DC),69,53,397,31,8,8,266,1077,
Copper Coast (DC),384,402,1134,95,31,54,1562,7783,
Elliston (DC),53,47,81,15,0,10,136,793,
Flinders Ranges (DC),59,61,216,29,4,15,239,1101,
Franklin Harbour (DC),43,35,74,13,3,10,173,918,
Gawler (T),980,928,1503,210,129,157,2848,12161,
Goyder (DC),164,176,326,50,18,25,565,2857,
Grant (DC),349,311,658,80,26,43,1217,5184,
Holdfast Bay (C),4311,2498,3116,374,935,553,4419,17106,
Kangaroo Island (DC),275,190,362,48,34,46,592,2717,
Karoonda East Murray (DC),45,40,82,15,0,3,117,861,
Kimba (DC),42,49,66,13,0,12,140,787,
Kingston (DC),87,91,181,38,3,17,278,1626,
Le Hunte (DC),55,46,79,12,0,5,160,960,
Light (RegC),601,564,797,133,67,89,1981,8119,
Lower Eyre Peninsula (DC),196,175,409,49,13,29,619,2909,
Loxton Waikerie (DC),494,377,941,102,35,67,1427,8162,
Mallala (DC),193,253,695,72,29,22,1141,5497,
Maralinga Tjarutja (AC),3,0,42,0,0,0,3,57,
Marion (C),6945,4776,6247,893,1048,872,12017,45907,
Mid Murray (DC),245,279,828,106,31,43,1267,5237,
Mitcham (C),9814,4892,4118,705,2526,1415,7199,31174,
Mount Barker (DC),2056,1596,1807,311,332,336,4043,15952,
Mount Gambier (C),1080,806,1880,267,110,152,3538,15667,
Mount Remarkable (DC),125,115,233,31,8,30,405,1893,
