lga,Not stated,Inadequately described,At sea,Not elsewhere classified,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, nfd",Channel Islands,England,Isle of Man,Northern Ireland,Scotland,Wales,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faeroe Islands,Finland,Greenland,Iceland,Norway,Sweden,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,"North Africa, nec","Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Myanmar),Cambodia,Laos,Thailand,Viet Nam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,East Timor,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan Province),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyz Republic,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Netherlands Antilles,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States","Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,Congo,"Congo, Democratic Republic of",C̫te d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tom̩ and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,R̩union,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Total
Ballarat (C),4931,21,0,0,0,0,73617,0,0,490,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1770,0,63,381,63,108,0,45,18,26,299,0,0,0,573,18,0,13,0,9,0,0,0,16,0,0,0,3,0,172,51,6,0,7,40,0,8,4,139,13,4,87,0,15,24,0,17,5,8,6,8,34,47,7,81,19,0,16,0,0,3,14,4,0,36,0,0,0,0,0,0,46,13,3,0,0,7,4,0,12,0,6,5,0,0,0,3,9,3,44,44,0,3,12,101,135,24,5,0,0,250,20,0,0,14,0,66,0,26,0,0,12,0,311,0,6,20,35,0,3,0,10,0,0,0,0,0,0,0,0,0,74,0,156,0,8,0,4,12,4,0,0,0,0,0,3,0,0,3,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,8,0,0,0,0,4,22,0,0,3,8,0,0,3,0,0,0,4,0,125,0,0,0,3,22,0,85196
Banyule (C),5990,54,0,0,0,0,86173,0,0,1117,0,0,69,3,8,0,0,0,0,0,3,0,0,0,3,89,0,3,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3433,3,126,652,86,332,0,121,17,96,638,0,0,0,301,54,0,31,0,22,0,0,15,42,0,0,0,0,0,2558,276,48,0,81,225,22,112,42,455,108,380,1229,4,69,112,6,120,28,5,27,15,121,88,41,311,83,18,103,0,0,4,260,5,3,16,0,0,0,0,3,23,131,48,19,18,32,410,3,0,17,52,82,6,3,0,0,8,11,9,160,406,0,7,132,658,363,195,33,0,0,1408,348,15,0,95,0,176,0,110,0,0,15,0,755,0,21,61,598,0,17,24,4,0,12,0,0,0,0,0,0,0,167,0,310,0,68,4,31,57,27,0,0,0,0,0,14,0,11,4,3,0,0,0,14,4,0,15,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,25,0,0,0,0,3,0,7,0,0,5,9,20,60,0,0,0,100,0,3,0,0,0,0,20,396,312,0,13,8,6,65,0,114869
Bass Coast (S),2275,4,0,0,0,0,20507,0,0,302,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0,56,230,45,87,0,18,6,17,173,0,0,0,243,15,0,8,0,3,0,0,4,13,0,0,0,0,0,262,54,3,0,10,26,0,0,0,20,14,10,57,0,0,4,0,11,5,0,4,3,19,17,3,24,3,0,3,0,0,0,18,0,0,5,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,21,13,0,0,10,19,42,3,3,0,0,6,12,0,0,0,0,15,0,0,0,0,0,0,45,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,41,0,10,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,27,0,0,0,0,4,0,26545
Baw Baw (S),1918,15,0,0,0,0,31629,0,0,304,0,0,13,0,0,0,0,0,3,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1247,0,41,210,35,62,0,17,6,9,194,0,0,0,345,8,0,14,0,0,0,3,3,3,0,0,0,0,0,220,32,3,0,4,31,0,3,0,29,3,3,27,0,4,9,0,10,4,0,3,3,20,4,0,48,10,3,7,0,0,0,9,0,0,12,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,8,7,0,0,12,20,68,6,3,0,0,36,16,0,0,0,0,13,0,0,0,0,4,0,47,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,5,0,78,0,3,3,0,9,0,37178
Bayside (C),5245,195,0,0,0,0,63010,0,0,1563,0,3,54,0,0,0,0,3,0,0,10,0,0,0,0,35,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,12,4745,3,114,770,114,352,0,137,53,188,744,0,3,0,315,85,0,68,0,34,0,5,18,74,0,0,0,3,0,731,64,35,0,45,109,11,36,5,152,104,37,752,19,93,24,7,51,60,44,74,13,182,50,36,549,368,6,302,0,0,0,188,0,22,25,0,0,0,0,7,4,33,14,175,4,3,99,3,0,6,13,117,11,3,0,0,21,19,5,88,71,0,7,91,323,123,159,3,0,0,504,198,10,0,47,0,339,0,104,0,0,6,0,506,0,3,16,236,0,7,5,5,11,16,0,0,0,13,0,0,3,271,0,682,0,34,0,29,56,18,5,0,0,0,0,16,0,8,11,3,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,5,38,0,0,3,90,0,5,9,0,0,0,6,11,858,3,3,10,19,61,0,87937
Benalla (RC),659,4,0,0,0,0,11833,0,0,91,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,15,56,6,24,0,20,0,7,93,0,0,0,62,3,0,3,0,5,0,0,0,0,0,0,0,0,0,31,12,0,0,0,9,0,0,0,4,0,0,6,0,0,0,0,7,3,0,3,0,13,9,3,19,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,4,15,3,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,22,0,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5,0,0,0,13524
Boroondara (C),8525,83,0,0,0,0,106410,0,0,2334,0,11,110,3,10,0,0,7,0,0,9,0,0,0,0,155,0,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5085,4,129,719,125,419,0,193,37,247,746,0,6,0,331,108,0,54,0,26,0,3,26,73,0,0,0,9,0,1939,124,20,0,66,168,11,50,27,246,175,107,2017,4,117,72,9,90,70,7,83,26,261,106,58,513,106,21,61,0,0,10,232,20,14,45,6,0,0,0,6,21,198,15,115,9,16,139,4,0,10,29,110,50,0,0,0,62,42,34,441,1081,3,36,776,2593,323,770,58,0,0,4149,1753,30,3,826,0,395,0,503,0,0,51,0,2625,4,34,127,866,0,27,11,0,0,0,0,4,0,3,0,4,3,325,0,964,0,66,3,71,88,72,0,0,0,7,0,27,0,21,12,3,0,0,0,22,8,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,0,0,0,19,0,0,0,0,8,0,17,0,0,0,7,14,68,0,0,4,126,0,5,7,0,0,0,17,3,876,0,16,14,36,118,0,154454
Brimbank (C),12430,112,0,0,0,0,82916,0,0,1789,0,3,50,0,3,0,0,0,0,0,31,0,0,0,31,440,0,8,301,8,0,104,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2051,3,126,509,54,193,0,232,27,110,1252,0,0,0,293,47,0,25,0,57,0,0,5,24,0,0,0,0,0,3990,6054,296,0,194,1182,149,1581,41,3090,1649,3739,2592,0,313,259,80,881,40,15,36,6,174,28,46,1578,103,20,298,0,0,10,1053,96,5,1223,9,0,0,0,9,27,91,160,30,25,8,816,10,3,44,161,741,36,3,0,3,35,183,326,232,15122,0,8,248,429,4068,142,954,0,0,1129,453,23,0,87,0,52,0,82,0,4,170,0,3054,0,27,288,902,0,108,14,3,3,5,3,0,0,0,0,0,0,71,0,141,0,371,3,40,872,41,3,0,0,7,20,63,0,249,10,4,0,0,4,547,14,6,15,3,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,0,0,38,6,0,43,3,0,0,21,0,4,12,0,5,10,0,22,0,3,90,390,103,0,0,3,170,0,3,0,0,0,0,23,108,172,0,29,21,5,25,0,168221
Buloke (S),334,0,0,0,0,0,6227,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,31,7,12,0,3,0,0,14,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,6850
Campaspe (S),1971,0,0,0,0,0,32180,0,0,273,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,16,117,18,33,0,9,0,14,89,0,0,0,125,6,0,8,0,7,0,0,3,0,0,0,0,0,0,205,18,3,0,11,21,4,0,0,5,3,6,18,0,3,7,0,0,0,0,0,3,15,8,0,15,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,10,3,0,0,3,9,60,0,0,0,0,13,5,0,0,0,0,0,0,3,0,0,4,0,16,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,6,0,36209
Cardinia (S),3318,4,0,0,0,0,45680,0,0,725,0,0,23,0,0,0,0,0,0,0,0,0,0,0,14,30,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3058,0,81,480,81,122,0,59,18,24,342,0,0,0,614,35,0,40,0,10,0,0,0,12,0,0,0,3,0,336,65,10,0,12,85,4,14,4,111,16,7,56,0,44,20,0,27,9,0,11,0,42,10,3,74,10,11,6,0,0,0,31,0,3,8,0,0,0,0,0,3,12,0,5,0,0,15,0,0,0,3,14,0,0,0,0,3,11,5,22,27,0,0,26,40,106,33,4,0,0,43,8,0,0,0,0,4,0,6,0,0,5,0,121,0,0,3,129,0,13,0,0,0,0,0,0,0,0,0,0,0,44,0,122,0,24,0,13,40,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,13,0,0,3,89,0,3,0,0,0,0,18,0,139,0,3,0,3,12,0,57116
Casey (C),13272,98,0,0,3,0,136487,0,0,4431,0,0,58,3,3,0,0,0,0,0,10,0,0,0,236,1288,4,4,607,11,0,60,0,0,0,0,0,0,0,0,0,0,0,0,23,10,8655,9,380,1826,224,521,0,224,37,157,1108,0,0,0,1544,64,0,71,0,59,0,0,26,38,0,0,0,0,0,1659,428,173,0,113,1094,41,950,52,1285,173,380,787,14,1239,90,10,652,52,16,113,9,460,22,20,1311,146,33,86,0,0,3,665,20,12,440,3,0,0,0,17,83,143,271,62,66,39,556,13,8,40,116,736,104,0,0,0,55,969,151,301,1006,0,15,368,797,2090,444,847,0,0,1531,232,25,0,91,0,63,0,47,0,0,90,0,4697,4,30,527,4850,0,1713,33,9,0,5,0,0,3,4,0,0,7,172,0,350,0,340,0,23,947,81,10,0,0,7,5,74,3,193,0,15,0,0,5,583,7,10,13,12,0,0,0,0,0,0,4,0,9,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,0,0,62,0,0,0,0,5,4,4,0,0,0,33,121,125,0,7,20,2454,0,12,5,3,0,0,211,11,1448,0,15,14,32,87,0,214962
Central Goldfields (S),650,0,0,0,0,0,10718,0,0,81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,14,51,13,12,0,7,0,0,46,0,0,0,64,3,0,3,0,3,0,0,0,0,0,0,0,0,0,24,8,3,0,3,7,0,0,0,0,0,4,9,0,0,3,0,3,3,0,3,0,9,3,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12324
Colac-Otway (S),1204,3,0,0,0,0,17720,0,0,201,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,6,78,5,18,0,9,4,3,67,0,0,0,83,11,0,7,0,3,0,0,4,4,0,0,0,0,0,73,16,0,0,0,9,0,0,0,7,3,0,18,0,3,3,0,0,0,0,0,0,11,4,0,6,3,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,4,7,12,3,3,0,0,19,3,0,0,3,0,7,0,8,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,20296
Corangamite (S),866,0,0,0,0,0,14707,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,11,51,9,14,0,3,3,0,36,0,0,0,151,0,0,0,0,3,0,0,0,4,0,0,0,0,0,18,0,0,0,0,14,0,0,0,3,0,0,7,0,3,3,0,0,0,0,3,0,3,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,25,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,16619
Darebin (C),10546,89,0,0,0,0,76531,0,0,1342,0,0,69,0,6,0,0,3,0,0,7,0,0,0,25,211,0,0,79,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2230,0,83,428,47,307,0,68,33,128,372,0,0,0,176,45,0,17,0,18,0,3,31,42,0,0,0,3,0,8053,505,177,0,167,226,74,217,23,509,346,1458,5590,8,58,68,15,176,23,9,34,17,72,40,9,211,58,13,59,0,0,10,450,23,26,183,3,0,0,0,8,26,130,286,25,32,28,1401,12,7,106,113,250,47,0,4,0,34,90,34,255,2004,0,7,245,535,636,201,68,0,0,3105,241,7,3,77,0,217,0,114,0,0,208,3,2461,9,44,179,717,0,62,10,0,7,0,0,0,0,8,0,0,0,171,0,293,0,101,0,34,136,75,3,0,0,5,0,33,0,36,14,0,0,0,0,17,6,3,24,9,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,10,3,13,0,0,0,36,7,0,21,0,0,0,23,0,3,13,0,0,3,13,0,0,9,23,45,74,3,0,4,152,0,8,0,0,5,0,14,334,183,0,26,4,18,62,0,128063
East Gippsland (S),2401,5,0,0,0,0,33539,0,0,326,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1605,0,42,235,41,52,0,45,0,19,268,0,0,0,290,20,0,8,0,8,0,0,5,8,0,0,0,0,0,206,68,6,0,7,14,0,0,0,19,4,0,35,0,0,3,0,0,0,0,11,11,20,14,5,30,4,3,6,0,0,0,15,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,14,0,0,15,22,82,13,21,0,0,14,20,0,0,3,0,13,0,7,0,0,3,0,63,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,78,0,3,0,3,4,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,69,0,3,0,4,10,0,40038
Frankston (C),8555,51,4,0,0,0,84691,0,0,2478,0,6,76,4,3,0,0,3,0,0,8,0,0,0,57,203,3,9,74,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8094,3,278,1578,270,448,0,144,25,85,803,0,3,0,838,47,0,49,0,24,0,3,17,30,0,0,0,7,0,608,127,32,0,42,195,3,238,19,276,81,30,402,8,104,38,8,94,46,5,67,11,143,42,26,305,117,26,85,0,0,3,161,3,4,67,5,0,0,0,6,9,43,23,16,3,4,140,3,0,23,17,59,9,0,0,0,22,54,7,88,83,0,0,106,209,568,93,18,0,0,331,73,7,0,16,0,48,0,41,0,0,9,0,652,9,4,55,467,0,187,0,0,12,9,4,0,0,0,0,0,0,156,0,273,0,65,0,20,181,15,0,0,0,10,0,41,0,61,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,6,0,3,0,0,0,4,9,38,0,0,0,224,0,3,0,0,0,0,32,0,527,0,3,0,7,97,0,117803
Gannawarra (S),628,0,0,0,0,0,10132,0,0,61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,19,3,3,0,5,0,0,33,0,0,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,10,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,11295
Glen Eira (C),9359,764,5,0,0,0,75192,0,0,1644,0,3,50,4,3,0,0,8,3,0,5,0,0,0,9,102,0,3,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3519,0,110,637,73,332,0,259,78,309,940,0,0,4,227,72,0,29,0,14,0,3,18,68,0,0,0,3,0,1237,101,41,0,58,199,5,70,26,185,243,52,2383,176,273,25,15,166,225,251,98,11,603,118,120,2174,1680,61,1487,0,0,3,345,9,52,39,9,0,0,0,7,35,39,21,1623,3,11,196,12,3,3,14,108,15,3,0,0,46,52,12,210,379,0,17,561,737,379,270,17,0,0,2798,497,22,3,125,0,426,0,432,0,0,80,0,2725,5,31,85,949,0,6,11,16,30,53,0,3,0,100,0,0,0,235,0,640,0,157,5,68,118,41,8,0,0,3,0,26,0,21,11,4,0,0,0,12,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,14,0,0,3,0,11,0,4,0,0,0,3,24,67,4,0,7,173,0,0,5,0,0,0,34,15,2554,3,13,15,21,108,0,124083
