Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Boyup Brook (S),3,0,345,8,11,0,0,0,0,7,0,0,0,10,0,5,0,0,0,0,0,3,3,0,0,0,4,10,0,7,9,0,0,19,21,4,0,19,19,0,0,0,0,0,0,0,3,7,0,0,0,7,18,0,37,0,0,46,32,8,3,0,0,0,0,4,5,0,0,5,
,Bridgetown-Greenbushes (S),3,0,155,9,8,4,0,0,0,108,3,3,3,5,0,118,0,3,4,9,3,19,11,16,9,0,17,63,0,46,5,8,0,81,63,45,8,105,55,0,0,0,0,3,0,0,7,11,0,3,0,22,55,0,74,0,0,117,111,44,14,0,8,4,0,29,11,0,0,18,
,Brookton (S),0,0,189,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,5,0,23,6,0,0,13,3,17,3,6,7,0,0,0,0,0,3,0,3,0,0,0,0,3,5,0,25,0,0,29,6,42,7,0,3,0,0,0,3,0,0,10,
,Broome (S),14,0,75,3,0,115,3,0,0,0,8,0,0,15,3,10,23,16,23,41,26,27,34,32,18,0,179,239,12,48,23,36,6,269,370,148,25,656,86,0,53,83,0,155,0,12,51,40,3,15,0,124,267,0,420,10,0,501,385,221,28,65,50,51,0,83,250,0,0,130,
,Broomehill (S),0,0,105,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,
,Bruce Rock (S),0,0,182,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,10,0,0,0,6,8,8,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,32,29,0,0,0,0,0,0,3,3,0,0,7,
,Bunbury (C),9,0,44,8,93,9,4,0,0,134,8,17,32,345,29,147,133,111,93,383,340,76,160,115,150,0,782,1118,46,192,388,311,32,1188,1733,710,126,804,502,100,4,14,0,106,4,15,175,258,87,139,3,524,1327,8,1011,5,0,1256,1542,726,76,110,38,143,0,341,458,0,0,170,
,Busselton (S),14,0,609,40,16,24,3,0,0,27,0,3,4,413,14,52,51,12,30,47,28,131,36,18,46,3,342,584,13,85,67,74,15,746,752,307,71,1037,190,0,4,0,0,81,6,5,63,126,22,68,7,299,560,0,307,0,0,627,616,336,46,18,29,80,7,216,86,0,0,73,
,Cambridge (T),12,0,16,7,0,5,0,0,0,0,0,21,3,77,49,24,137,16,7,3,46,22,35,3,3,0,131,191,6,60,57,173,5,616,475,33,51,349,36,0,0,3,0,64,5,0,33,84,18,87,0,210,1037,3,228,3,0,715,2788,453,97,34,35,211,0,254,87,0,0,90,
,Canning (C),25,0,56,43,3,11,0,3,53,73,5,619,227,1479,337,423,415,847,499,2278,1783,574,1114,74,215,3,1195,2036,77,1098,2194,2559,456,2889,3983,1706,400,874,2225,177,15,14,13,296,258,47,646,325,66,192,14,783,2845,0,1198,0,0,2079,1596,1256,97,117,56,365,4,699,694,0,0,626,
,Capel (S),3,0,256,9,0,4,0,0,0,325,12,4,16,104,6,9,3,12,8,23,12,0,23,0,0,0,71,213,6,20,14,14,4,75,34,38,16,72,22,0,0,0,0,3,3,0,14,3,0,4,0,15,78,0,105,0,0,160,16,28,3,0,10,31,0,52,125,0,0,31,
,Carnamah (S),0,0,121,0,0,0,0,0,3,135,5,8,11,0,0,0,0,0,0,0,3,0,4,0,0,0,3,101,0,16,22,0,0,13,10,19,5,24,13,0,0,0,0,0,0,0,3,5,0,0,0,0,11,0,22,0,0,39,0,6,0,0,0,0,0,0,7,0,0,7,
,Carnarvon (S),3,0,403,9,0,33,6,0,0,0,86,0,3,86,4,0,10,0,3,7,3,4,10,20,14,0,48,58,0,22,20,63,4,135,80,78,8,192,43,0,13,6,0,44,0,0,20,14,4,0,0,31,88,0,153,0,0,205,177,66,10,3,3,11,0,28,60,0,0,33,
,Chapman Valley (S),0,0,164,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,3,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,22,0,0,20,0,0,0,0,0,0,0,9,0,0,0,3,
,Chittering (S),0,0,266,17,4,0,0,0,0,47,6,18,15,34,5,0,4,119,4,8,3,3,13,0,0,0,30,66,3,21,8,7,3,52,14,22,5,19,26,0,0,0,0,0,0,0,10,0,0,0,0,11,44,0,29,3,0,66,9,11,3,0,0,6,0,6,5,0,0,25,
,Claremont (T),11,0,17,0,0,0,3,0,3,0,0,4,3,6,8,7,19,0,3,0,7,3,12,5,0,0,111,74,0,17,25,35,4,432,828,51,33,296,7,0,0,0,0,19,0,0,38,77,4,43,0,160,397,0,79,14,0,910,645,213,32,4,23,151,4,172,46,0,0,41,
,Cockburn (C),14,0,139,26,3,41,4,0,12,34,49,180,42,525,103,305,170,377,424,1257,2477,227,624,535,41,7,680,1275,66,425,295,505,75,1404,1013,403,119,390,574,12,24,264,0,181,211,28,119,85,16,51,8,248,1378,4,502,49,0,1344,546,469,64,5,41,251,9,410,223,0,0,377,
,Collie (S),4,0,46,8,17,0,0,523,0,74,7,25,38,0,3,51,18,23,0,1100,24,12,40,293,13,0,127,169,19,16,18,5,0,233,126,66,17,153,45,13,0,0,0,9,0,0,22,31,0,5,0,31,171,0,126,0,0,289,189,87,22,0,5,14,0,49,47,0,0,64,
,Coolgardie (S),3,0,6,0,0,0,0,0,0,673,4,134,60,0,0,0,0,0,0,54,22,0,33,0,4,0,40,53,3,9,17,0,0,65,27,38,5,51,41,0,0,0,0,0,0,7,7,9,0,0,0,17,28,0,58,0,0,121,17,24,0,0,0,0,0,5,18,0,0,20,
,Coorow (S),0,0,151,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,9,5,3,0,13,13,11,3,17,8,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,24,0,0,24,3,0,0,0,0,0,0,0,3,0,0,3,
,Corrigin (S),0,0,189,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,8,5,0,14,18,0,0,18,23,18,0,13,12,0,0,0,0,0,17,0,0,10,7,0,0,0,10,0,29,0,0,34,30,10,3,0,0,0,0,9,6,0,0,6,
,Cottesloe (T),0,0,5,0,0,0,0,0,0,0,0,9,0,14,3,7,9,3,0,0,3,5,7,0,0,0,46,44,3,5,10,37,0,179,220,5,15,367,4,0,0,4,0,10,0,0,0,42,7,41,4,85,181,0,83,0,0,95,99,106,18,3,21,19,0,74,53,0,0,25,
,Cranbrook (S),0,0,326,22,0,0,0,0,0,0,0,0,0,58,0,0,0,8,0,0,7,0,0,0,0,0,0,8,0,6,0,7,0,14,6,7,3,6,22,0,0,0,0,3,0,0,5,3,0,0,0,0,3,0,23,0,0,24,0,0,0,0,0,0,0,0,4,0,0,4,
,Cuballing (S),0,0,132,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,6,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,16,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,
,Cue (S),0,0,13,0,4,0,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,3,4,5,3,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15,0,0,10,5,0,4,0,0,0,0,0,3,0,0,0,
,Cunderdin (S),0,0,177,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,19,20,10,0,11,0,8,3,0,17,15,0,5,19,15,16,4,7,9,0,0,0,0,0,0,0,3,0,4,3,0,0,8,0,30,0,0,77,30,3,0,0,0,0,0,3,5,0,0,4,
,Dalwallinu (S),0,0,299,13,3,0,0,0,0,0,0,0,0,0,4,0,0,22,4,3,18,6,8,0,0,0,9,11,0,13,24,0,0,19,15,23,3,19,10,0,0,0,0,0,0,0,0,9,3,0,0,0,7,0,34,0,0,67,38,0,0,0,0,0,0,3,4,0,0,7,
,Dandaragan (S),8,0,323,15,10,28,0,0,0,66,20,3,15,5,3,0,0,86,3,9,3,0,11,14,0,0,24,67,5,8,6,10,0,41,33,41,11,106,30,0,0,0,0,5,0,0,12,4,0,0,0,23,31,0,79,0,0,81,18,10,0,0,3,3,0,11,8,0,0,20,
,Dardanup (S),0,0,157,8,4,0,3,0,0,11,0,0,0,46,0,346,3,33,15,3,3,10,18,0,3,0,64,126,4,24,3,17,0,191,80,32,9,50,133,0,0,3,0,0,0,0,7,3,3,3,0,15,50,0,66,0,0,207,68,117,4,3,3,29,0,39,59,0,0,29,
,Denmark (S),4,0,218,7,3,6,0,0,0,0,0,0,0,71,3,16,13,8,3,4,0,3,5,0,3,0,45,78,0,15,3,10,0,103,78,36,3,150,11,0,0,0,0,10,0,0,12,14,0,8,0,44,62,0,72,0,0,174,112,27,6,0,8,4,0,25,10,0,0,14,
,Derby-West Kimberley (S),17,0,132,15,4,16,0,0,0,110,146,38,20,0,0,3,0,3,3,19,10,3,9,13,0,0,62,85,8,13,6,8,0,62,64,53,13,99,44,0,3,19,0,14,0,0,11,10,0,0,0,19,87,0,472,174,0,247,256,377,28,5,10,10,0,21,213,0,0,94,
,Donnybrook-Balingup (S),0,0,401,16,36,6,3,0,0,0,8,4,0,31,0,8,3,12,17,34,19,6,19,0,0,0,24,49,0,20,14,65,0,89,51,26,8,81,32,0,0,0,0,3,0,0,17,7,0,3,0,27,41,0,70,0,0,112,59,30,0,0,10,0,0,17,17,0,0,21,
,Dowerin (S),0,0,161,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,0,5,15,0,0,6,10,8,0,16,6,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,19,0,0,18,0,3,0,0,0,0,0,4,3,0,0,4,
,Dumbleyung (S),3,0,188,9,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,6,4,0,0,4,4,9,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,14,4,3,0,0,0,0,0,3,0,0,3,
,Dundas (S),0,0,13,7,0,0,0,0,0,239,0,61,8,0,0,0,0,0,0,4,0,0,5,0,0,0,25,12,4,8,0,0,0,11,13,33,0,70,9,0,0,0,0,4,0,0,4,4,0,0,0,0,14,0,33,0,0,32,26,7,0,0,0,0,0,4,13,0,0,10,
,East Fremantle (T),8,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,0,0,4,14,8,3,0,0,0,62,46,0,4,9,14,0,108,64,11,13,253,9,0,3,0,0,4,0,0,7,8,3,6,0,60,141,0,46,208,0,73,321,75,21,19,15,67,0,33,9,0,0,16,
,East Pilbara (S),0,0,66,5,0,0,0,5,0,1895,17,459,140,0,0,0,0,47,14,40,12,3,36,16,3,0,189,205,26,13,83,4,0,89,47,49,8,271,36,0,0,8,0,10,0,0,21,24,0,0,0,23,233,0,146,0,0,199,70,148,8,0,3,3,0,15,86,0,0,54,
,Esperance (S),4,0,900,78,10,27,5,0,54,14,5,12,6,57,9,0,25,17,19,52,21,22,33,19,12,0,95,180,3,57,88,43,3,300,369,187,37,282,192,46,12,9,0,94,47,9,39,71,18,21,0,88,224,0,241,0,0,473,338,127,26,11,12,28,0,82,60,0,0,59,
,Exmouth (S),0,0,5,0,0,54,0,0,3,5,4,0,0,16,0,0,0,0,5,3,75,3,3,12,3,0,33,59,3,6,3,24,0,64,60,34,8,127,15,0,15,11,0,15,0,0,12,8,0,3,0,12,29,0,75,29,0,66,51,9,5,0,0,9,0,10,33,0,0,17,
,Fremantle (C),16,0,49,6,14,85,0,0,60,8,0,54,11,712,172,167,149,459,81,259,521,393,289,26,11,0,325,449,18,240,238,715,114,1006,1820,480,134,1816,639,15,248,6,0,1211,53,48,52,200,34,84,4,327,1382,0,1243,36,0,1779,3395,556,84,79,205,271,18,310,403,0,0,267,
,Geraldton (C),0,0,61,14,0,90,0,0,8,60,17,41,23,87,19,14,60,26,42,83,107,60,92,27,74,0,206,509,22,151,211,169,18,728,838,383,55,455,252,0,11,9,0,131,47,5,98,137,42,77,3,225,628,0,525,13,0,1059,925,443,29,30,29,78,0,157,275,0,0,96,
,Gingin (S),0,0,504,14,0,25,0,0,0,31,5,6,3,74,0,3,3,3,21,3,0,12,14,0,6,0,20,73,3,19,0,39,0,39,29,21,13,65,42,0,3,3,0,3,0,0,12,5,0,3,0,24,29,0,55,0,0,91,18,20,4,0,3,5,0,14,20,0,0,16,
,Gnowangerup (S),0,0,323,18,0,0,0,0,0,3,0,0,0,0,14,0,0,3,0,0,3,0,0,0,0,0,10,8,0,15,12,0,0,9,13,7,4,16,20,0,0,0,0,0,0,0,8,11,0,0,0,3,5,0,30,0,0,71,23,11,5,0,0,4,0,3,18,0,0,6,
,Goomalling (S),0,0,152,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,4,8,0,0,7,11,19,0,12,14,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,26,0,0,21,31,3,3,0,0,3,0,3,0,0,0,4,
,Gosnells (C),12,0,76,39,26,0,0,0,0,15,53,72,49,103,107,102,54,153,160,555,431,268,351,30,8,0,725,1180,50,230,269,216,65,1678,1213,822,147,485,840,9,3,3,0,73,33,14,66,122,20,55,7,391,1112,6,569,0,0,2059,590,953,68,4,33,143,0,411,747,0,0,247,
,Greenough (S),4,0,218,20,0,41,0,0,0,174,26,12,6,53,4,0,4,15,29,27,56,9,23,33,3,0,63,140,8,31,57,24,6,73,112,39,17,59,162,57,0,5,0,10,3,3,6,15,0,8,0,30,98,0,62,24,0,189,33,36,4,0,4,0,0,40,117,0,0,23,
,Halls Creek (S),4,0,54,5,0,0,0,0,0,60,3,11,3,0,0,0,0,0,0,32,3,0,3,0,3,0,7,17,3,0,5,4,3,12,20,8,0,27,12,0,0,0,0,0,0,0,4,0,0,0,0,0,25,0,197,0,0,112,72,184,6,3,3,0,0,0,129,0,0,26,
,Harvey (S),0,0,503,23,23,0,3,0,0,23,19,16,10,499,4,48,17,376,40,107,55,30,72,0,29,0,99,274,10,30,21,97,3,267,139,117,25,142,157,0,0,0,0,7,0,3,24,33,4,6,3,45,117,0,143,0,0,555,167,121,12,3,10,59,0,68,43,0,0,50,
,Irwin (S),0,0,104,7,0,54,0,0,42,4,0,22,3,3,0,0,4,3,21,27,11,4,5,6,0,0,37,55,10,10,3,6,0,59,41,38,0,96,21,0,3,0,0,8,0,0,8,9,0,0,0,20,21,0,38,4,0,60,49,11,3,0,0,3,0,16,12,0,0,8,
,Jerramungup (S),0,0,294,16,4,13,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,9,13,0,7,0,0,0,3,11,14,3,31,3,0,0,0,0,0,5,0,7,3,0,0,0,0,13,0,23,0,0,48,4,4,0,0,4,4,0,4,8,0,0,3,
,Joondalup (C),28,0,28,12,5,17,0,0,3,15,0,22,28,62,71,59,107,43,39,59,142,160,119,7,27,0,698,1418,43,104,199,297,50,3939,3570,393,255,1712,366,11,20,6,3,155,7,8,227,559,184,214,8,858,2478,3,1035,4,0,4816,3392,1429,146,153,117,616,15,1014,878,3,0,316,
,Kalamunda (S),14,0,270,38,8,0,4,0,3,97,5,30,23,122,16,33,38,95,46,493,405,101,161,94,9,0,317,580,11,185,106,142,41,904,518,226,47,368,879,174,4,0,0,174,113,17,87,78,21,41,7,247,632,0,253,0,0,1218,515,437,47,3,38,126,3,263,138,0,0,139,
,Kalgoorlie/Boulder (C),6,0,50,10,6,0,3,4,0,1467,20,597,262,21,26,15,61,131,39,367,186,19,147,64,37,0,263,570,28,103,458,77,25,552,723,372,80,556,425,137,3,19,3,67,5,14,95,106,42,34,0,280,779,0,399,0,0,840,680,349,21,25,35,102,6,156,314,0,0,157,
,Katanning (S),0,0,221,20,0,3,0,0,0,0,0,0,0,72,0,3,5,11,0,6,12,3,8,6,15,0,12,38,0,46,49,198,0,96,105,55,12,48,41,0,3,3,0,3,11,0,17,27,5,9,0,8,77,0,93,0,0,145,125,40,6,3,0,3,0,35,26,0,0,18,
,Kellerberrin (S),0,0,123,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,9,3,12,0,9,0,4,11,0,7,3,0,0,21,11,4,0,12,10,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,21,0,0,35,30,20,3,0,3,0,0,6,12,0,0,3,
,Kent (S),0,0,198,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,23,3,0,0,0,0,0,0,3,0,0,0,0,
,Kojonup (S),0,0,483,27,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,0,0,3,5,0,0,0,10,17,0,22,3,3,3,48,21,20,0,29,47,0,0,0,0,0,0,3,5,7,0,3,0,4,37,0,42,0,0,62,84,11,7,0,0,0,0,3,10,0,0,3,
,Kondinin (S),0,0,285,10,0,0,0,0,0,24,0,21,0,0,0,0,0,5,0,3,3,0,0,3,0,0,11,16,0,11,0,0,0,23,13,17,0,24,13,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,18,0,0,30,32,11,0,0,0,0,0,4,3,0,0,4,
,Koorda (S),0,0,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,0,0,0,4,3,0,0,7,4,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,
,Kulin (S),0,0,243,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,11,8,4,3,3,7,0,0,0,0,0,0,0,4,0,0,0,0,3,9,0,28,0,0,27,3,3,0,0,4,0,0,3,4,0,0,8,
,Kwinana (T),11,0,175,4,0,0,0,3,21,105,16,197,52,32,17,35,9,1618,138,2012,126,32,285,249,45,3,679,818,152,164,53,91,26,338,178,183,24,76,217,82,6,0,3,77,61,8,11,94,3,19,0,170,687,0,208,10,0,421,200,173,27,3,15,64,0,90,385,0,0,215,
,Lake Grace (S),0,0,430,23,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,4,0,9,14,3,23,9,0,0,12,18,32,4,17,22,0,0,0,0,0,20,0,0,10,0,0,0,3,13,0,43,0,0,47,33,7,0,0,5,3,0,3,3,0,0,8,
,Laverton (S),0,0,3,0,0,0,0,0,0,511,0,151,13,0,0,0,0,3,0,0,0,0,15,0,0,0,9,13,0,0,4,3,0,10,0,6,4,32,5,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,46,18,0,37,31,30,0,0,0,0,0,0,26,0,0,11,
,Leonora (S),0,0,20,4,0,0,0,7,3,1087,8,568,76,0,0,0,0,15,4,247,15,0,26,6,0,0,30,89,11,3,33,0,0,17,11,16,12,72,39,0,0,0,0,4,0,0,4,0,0,0,0,23,97,0,29,0,0,42,17,12,0,0,5,0,0,5,8,0,0,33,
,Mandurah (C),17,0,28,3,3,26,0,0,0,7,9,10,11,70,50,46,121,12,57,179,102,81,86,14,32,0,506,920,26,70,169,81,20,1538,1775,624,125,860,241,3,17,0,0,61,5,7,143,188,45,99,9,524,776,0,606,16,0,1442,1194,774,85,46,38,202,4,430,252,0,0,156,
,Manjimup (S),10,0,667,13,75,19,0,0,0,0,0,0,0,121,7,252,8,4,9,23,4,23,12,0,7,0,50,90,0,68,25,54,0,239,197,131,19,295,113,0,3,0,0,13,0,3,31,37,6,9,0,48,111,0,329,0,0,381,201,111,16,3,11,15,0,43,48,0,0,42,
,Meekatharra (S),0,0,49,0,0,0,0,0,0,407,0,46,29,0,0,0,0,3,0,0,3,0,9,0,0,0,10,11,0,7,26,0,0,7,3,14,0,18,5,0,0,0,0,0,0,0,3,0,0,0,0,3,26,0,32,0,0,72,44,9,5,0,0,0,0,5,31,0,0,23,
,Melville (C),23,0,114,6,5,19,3,23,13,89,0,153,45,364,93,25,129,86,109,454,169,117,160,28,30,13,941,863,32,251,270,368,69,2665,2914,926,191,1068,226,3,19,4,3,208,51,4,186,449,89,235,21,776,2133,4,550,37,0,4052,3335,1107,191,77,70,312,7,987,338,0,0,277,
,Menzies (S),0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,
,Merredin (S),0,0,255,21,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,11,35,10,11,12,22,0,24,26,0,44,45,21,0,59,93,75,18,51,54,35,0,32,0,5,36,0,23,25,7,3,0,11,59,0,89,0,0,140,93,15,4,3,0,0,0,27,26,0,0,17,
,Mingenew (S),0,0,110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,5,3,3,0,9,0,15,0,4,10,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,15,0,0,19,3,7,0,0,0,0,0,0,4,0,0,4,
,Moora (S),3,0,341,34,0,0,0,0,0,0,10,0,0,0,0,0,3,3,0,0,3,0,4,13,9,0,24,29,0,41,39,0,0,49,36,42,9,42,43,0,0,0,0,0,3,0,14,29,8,4,0,4,26,0,75,0,0,137,57,23,9,0,0,0,0,5,11,0,0,5,
,Morawa (S),0,0,122,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,5,0,0,0,15,8,3,0,16,9,0,0,0,0,0,8,0,0,6,0,0,0,0,3,0,21,0,0,73,23,3,4,0,0,3,0,0,4,0,0,3,
,Mosman Park (T),0,0,15,3,0,0,3,0,0,0,0,4,3,17,4,0,6,0,3,3,21,0,4,0,0,0,34,56,0,3,3,15,5,186,80,16,11,98,3,0,3,0,0,7,0,3,3,16,0,6,3,25,128,0,47,0,0,474,132,210,15,3,13,18,0,52,24,0,0,20,
,Mount Magnet (S),0,0,19,3,0,0,0,0,0,129,0,22,11,0,0,0,0,3,0,0,3,0,4,0,0,0,8,12,0,0,7,0,0,5,3,13,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,24,4,3,0,0,0,0,0,0,7,0,0,3,
,Mount Marshall (S),0,0,191,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,0,3,0,0,0,6,0,0,0,9,9,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,19,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,
,Mukinbudin (S),0,0,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,5,0,10,12,3,0,7,8,5,3,4,9,0,0,0,0,0,0,0,7,8,0,0,0,0,7,0,12,0,0,28,9,3,0,0,0,0,0,0,4,0,0,0,
,Mullewa (S),6,0,170,4,0,0,0,0,0,61,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,6,0,9,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,60,14,0,3,0,0,4,0,0,4,0,0,6,
,Mundaring (S),3,0,96,24,4,0,3,0,3,5,20,102,32,111,33,40,21,66,13,111,178,100,102,0,12,0,222,354,12,108,114,124,38,636,368,303,33,237,285,5,0,0,4,11,0,3,58,30,9,29,0,124,421,0,247,5,0,935,265,314,22,3,35,56,0,158,374,0,0,111,
,Murchison (S),0,0,23,0,0,0,0,0,0,11,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
,Murray (S),6,0,280,25,3,3,0,0,0,202,3,46,17,16,4,13,3,19,8,1525,38,5,37,26,3,0,139,311,45,23,10,29,3,142,78,66,13,211,51,0,0,0,0,15,0,3,10,16,0,8,3,76,223,0,130,0,0,224,129,74,3,0,7,59,0,49,27,0,0,51,
,Nannup (S),3,0,106,0,6,3,0,0,0,0,0,0,0,29,3,48,0,0,0,6,0,6,0,0,0,0,7,16,0,3,0,3,0,10,8,12,0,43,3,0,0,0,0,5,0,0,3,0,0,0,0,8,14,0,32,0,0,33,23,4,3,0,3,3,0,4,4,0,0,6,
,Narembeen (S),3,0,201,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,0,0,0,3,3,0,3,17,0,0,9,10,12,0,7,11,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,19,0,0,21,23,3,3,0,0,0,0,0,4,0,0,0,
,Narrogin (T),0,0,147,19,3,0,0,0,0,0,0,0,0,41,0,3,6,0,9,8,17,5,4,10,15,0,48,64,0,55,47,15,3,130,155,89,10,101,42,4,0,0,0,5,0,6,12,47,12,22,0,26,107,0,135,0,0,259,277,110,12,5,0,12,0,31,36,0,0,18,
,Narrogin (S),0,0,102,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
,Nedlands (C),13,0,27,9,3,6,0,0,0,134,6,66,17,29,48,9,52,24,8,4,61,10,26,76,150,0,185,135,4,12,58,69,19,355,323,109,29,390,52,0,0,0,0,77,5,0,98,116,98,129,16,230,1424,5,402,554,0,1417,7463,504,271,23,30,237,8,217,182,4,0,106,
,Ngaanyatjarraku (S),3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,11,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,257,0,0,55,16,106,5,5,5,0,0,0,52,0,0,18,
