Occupation 93 (ASCO2) (OCC93P) - 1 Digit,lga,Not stated,Inadequately described,Managers and Administrators,Professionals,Associate Professionals,Tradespersons and Related Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers",Intermediate Production and Transport Workers,"Elementary Clerical, Sales and Service Workers",Labourers and Related Workers,Not applicable,
,Timber Creek (CGC),0,0,12,24,16,7,0,8,0,8,40,0,
,Tiwi Islands (CGC),0,42,31,160,72,56,9,123,54,46,188,0,
,Walangeri Ngumpinku (CGC),0,5,10,10,3,0,0,20,4,12,68,0,
,Wallace Rockhole (CGC),0,0,3,6,4,0,0,3,0,4,5,0,
,Watiyawanu (CGC),0,0,3,3,0,0,0,8,3,3,9,0,
,Yuendumu (CGC),0,4,7,46,30,8,0,36,11,5,31,0,
,Yugul Mangi (CGC),4,22,21,73,18,5,0,61,16,18,130,0,
,Unincorporated NT,35,363,889,1822,1237,1945,143,1612,1531,651,2398,0,
,No fixed address,4,34,176,290,135,1053,50,204,366,112,446,0,
,NT Undefined,20,67,162,336,217,397,17,258,268,152,345,0,
,Canberra Undefined,0,18,37,88,64,99,8,69,43,64,33,0,
,Unincorporated ACT,110,1724,22531,52629,26882,10775,5293,31957,5360,15141,5423,0,
,No fixed address,13,42,324,656,322,2443,71,624,576,253,887,0,
,ACT Undefined,8,49,91,274,156,225,27,228,86,200,146,0,
,Unincorporated OT,0,19,157,193,181,222,19,164,110,60,142,0,
,No fixed address,0,0,0,3,3,9,0,0,7,0,3,0,
,Not applicable,0,0,0,0,0,0,0,0,0,0,0,10751106,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
