lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Sandstone (S),3,0,9,3,6,3,16,62
Serpentine-Jarrahdale (S),135,141,928,986,3470,257,1203,10629
Shark Bay (S),6,9,55,46,186,18,53,480
South Perth (C),2512,1011,8273,3271,3916,725,3201,17836
Stirling (C),6782,3683,29562,14963,24489,3230,15797,97199
Subiaco (C),1840,584,4547,1249,1080,286,1338,6662
Swan (C),1114,876,7096,6377,17902,1579,7945,65572
Tammin (S),0,3,23,20,45,7,38,270
Three Springs (S),0,0,32,36,97,6,50,388
Toodyay (S),55,34,242,274,803,93,370,2518
Trayning (S),3,0,13,12,45,3,27,240
Upper Gascoyne (S),3,3,9,6,15,0,28,185
Victoria Park (T),1617,642,5439,2641,3870,522,3510,14194
Victoria Plains (S),6,3,68,39,121,15,57,584
Vincent (T),1767,904,6997,2418,3248,433,2933,12849
Wagin (S),6,12,81,52,266,34,120,1269
Wandering (S),3,3,23,20,69,7,28,288
Wanneroo (C),1563,1237,10847,9601,26551,2366,8805,91109
Waroona (S),20,15,141,139,690,59,207,2314
West Arthur (S),3,3,51,49,109,10,48,600
Westonia (S),4,3,18,13,50,3,12,172
Wickepin (S),0,10,38,39,80,16,52,518
Williams (S),4,12,67,45,121,7,61,600
Wiluna (S),18,11,86,53,282,6,144,565
Wongan-Ballidu (S),3,22,64,80,239,9,71,952
Woodanilling (S),0,4,25,24,64,3,18,282
Wyalkatchem (S),4,3,32,15,60,8,52,345
Wyndham-East Kimberley (S),114,93,646,372,1164,86,867,4459
Yalgoo (S),3,3,24,23,81,0,67,196
Yilgarn (S),6,6,76,58,291,16,189,984
York (S),40,38,236,210,525,59,256,2034
Unincorporated WA,5,0,20,28,150,24,70,118
No Usual Address (WA),143,78,753,459,1391,159,1327,2991
Break O'Day (M),52,45,335,283,1070,59,606,3747
Brighton (M),45,56,412,516,2585,84,1291,10469
Burnie (C),191,146,1038,878,3430,164,1535,11946
Central Coast (M),180,184,1304,1083,3955,176,1679,12800
Central Highlands (M),17,16,114,102,308,16,233,1449
Circular Head (M),31,36,285,285,1267,47,561,5468
Clarence (C),1021,754,5109,3275,8334,444,4077,28838
Derwent Valley (M),68,64,325,363,1653,81,779,6372
Devonport (C),165,172,1303,1204,4400,205,1974,15190
Dorset (M),49,27,284,248,1187,66,494,4459
Flinders (M),22,11,56,62,133,13,55,427
George Town (M),44,31,253,242,1120,44,520,4381
Glamorgan/Spring Bay (M),48,31,267,244,729,40,353,2483
Glenorchy (C),426,321,2251,1967,7902,364,3600,27821
Hobart (C),3335,1524,9901,3388,5070,413,3467,21611
Huon Valley (M),265,178,1141,855,2495,147,956,9109
Kentish (M),42,58,290,298,1119,50,406,3825
King Island (M),15,16,107,77,296,6,132,910
Kingborough (M),1202,702,4465,2424,5149,322,2026,17612
Latrobe (M),83,68,563,522,1878,76,667,5975
Launceston (C),1132,684,5744,3264,10107,496,4712,38057
Meander Valley (M),183,159,1214,1017,3258,181,1282,11591
Northern Midlands (M),113,104,687,615,2096,83,861,7665
Sorell (M),112,135,740,716,2583,124,1007,7780
Southern Midlands (M),48,23,214,251,978,43,489,4006
Tasman (M),45,28,128,128,473,30,217,1308
Waratah/Wynyard (M),108,107,763,678,2445,110,1013,8479
West Coast (M),35,13,192,148,870,37,393,2992
West Tamar (M),441,265,1949,1394,3878,221,1400,12265
Unincorporated Tas,0,4,7,14,33,3,17,32
No Usual Address (Tas.),31,10,91,63,167,8,178,533
Alice Springs (T),717,474,2561,1483,3822,212,2757,13151
Barkly (S),48,50,262,170,530,32,1071,4659
Belyuen (S),0,0,3,0,6,0,26,140
Central Desert (S),24,22,120,66,290,20,481,2692
Coomalie (S),10,10,67,59,154,19,192,597
Darwin (C),2510,1452,8756,4623,10562,651,9016,35366
East Arnhem (S),44,57,201,125,597,27,636,7414
Katherine (T),103,101,638,481,1487,68,1030,5268
Litchfield (M),191,189,1108,965,3770,150,2424,10203
MacDonnell (S),37,34,162,105,338,23,1190,3945
Palmerston (C),289,273,1585,1573,5133,214,2484,16144
Roper Gulf (S),27,28,146,108,579,26,787,4422
Tiwi Islands (S),17,14,78,51,310,22,119,1974
Victoria-Daly (S),22,39,144,125,603,24,359,4619
Wagait (S),9,8,50,17,76,6,32,169
West Arnhem (S),58,37,217,134,616,23,448,4696
Unincorporated NT,155,111,643,460,1501,71,1483,3668
No Usual Address (NT),41,30,206,115,376,26,294,785
Unincorporated ACT,25686,11142,61827,26046,39035,4720,18708,169420
No Usual Address (ACT),47,18,124,40,83,4,70,245
Unincorp. Other Territories,33,32,159,128,332,22,987,1317
No Usual Address (OT),0,4,13,0,3,0,0,6
,,,,,,,,
,,,,,,,,
"Data Source: Census of Population and Housing, 2011, TableBuilder",,,,,,,,
,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,
,,,,,,,,
,,,,,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,
