Mortgage Repayments (monthly) Ranges (MRERD),lga,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999",$5000 and over,Not stated,Not applicable,
,Moira (S),159,27,62,148,124,278,387,373,403,260,272,139,193,83,36,89,97,28,44,255,9786,
,Monash (C),572,201,227,370,366,602,757,977,1034,1048,1061,896,1774,779,789,1286,2351,878,531,980,48145,
,Moonee Valley (C),275,97,117,261,203,361,530,660,686,681,776,549,1204,516,493,906,1531,722,531,764,34245,
,Moorabool (S),76,29,66,138,128,198,319,399,469,474,455,339,413,178,100,229,208,56,54,264,6991,
,Moreland (C),298,143,159,318,329,544,762,1023,1086,1040,1213,975,1787,800,742,1291,1901,538,317,883,47212,
,Mornington Peninsula (S),497,180,284,507,501,883,1098,1376,1565,1461,1755,1249,1903,859,646,1237,1608,547,450,1287,63732,
,Mount Alexander (S),70,33,59,97,113,199,238,265,283,211,186,89,113,60,24,58,65,19,21,123,6480,
,Moyne (S),91,19,36,86,73,119,193,178,188,140,121,100,115,50,30,57,81,35,47,131,5707,
,Murrindindi (S),49,16,33,53,57,99,147,171,200,167,155,99,133,59,36,95,79,16,18,104,5459,
,Nillumbik (S),206,102,104,237,168,327,463,577,622,614,710,525,1034,460,435,831,1128,383,249,548,11300,
,Northern Grampians (S),44,16,45,96,108,206,231,168,140,68,66,29,46,10,10,29,17,6,17,84,4727,
,Port Phillip (C),306,99,77,144,135,251,322,454,496,542,566,489,983,444,441,724,1541,821,984,487,42113,
,Pyrenees (S),33,7,35,55,60,100,89,79,74,45,42,31,24,11,4,8,11,7,11,51,2761,
,Queenscliffe (B),11,0,0,11,7,13,19,21,25,13,20,7,13,9,8,8,22,8,5,17,2532,
,South Gippsland (S),116,19,65,176,136,264,333,359,362,284,266,155,258,91,71,135,113,44,59,250,11572,
,Southern Grampians (S),78,28,55,99,95,188,236,218,208,135,97,55,75,27,29,37,29,22,25,103,6099,
,Stonnington (C),350,82,68,137,117,205,263,399,399,399,428,293,786,319,383,556,1263,814,1354,587,37926,
,Strathbogie (S),34,15,22,69,72,94,131,132,118,81,81,40,56,12,10,20,34,13,14,76,3933,
,Surf Coast (S),89,27,38,95,85,154,176,229,262,226,237,178,314,146,167,292,334,116,71,181,13254,
,Swan Hill (RC),82,18,44,86,91,213,277,285,259,164,187,73,113,40,22,44,44,24,18,122,6958,
,Towong (S),34,3,11,36,40,87,74,66,63,46,54,16,44,14,13,19,21,8,9,38,2335,
,Wangaratta (RC),69,27,57,128,139,300,362,392,464,362,321,175,227,70,41,96,99,41,22,225,8806,
,Warrnambool (C),73,34,34,102,106,217,291,349,399,398,402,274,305,114,68,144,122,41,42,177,10289,
,Wellington (S),190,49,128,252,202,434,551,584,567,408,444,249,350,103,60,141,164,59,64,334,15681,
,West Wimmera (S),52,0,21,47,41,49,50,28,18,10,10,0,15,0,3,3,4,0,3,40,1907,
,Whitehorse (C),520,231,177,410,343,656,844,1097,1161,1092,1180,929,1871,790,801,1416,2317,776,529,861,43597,
,Whittlesea (C),291,128,188,428,397,707,1048,1294,1610,1605,2049,1743,2935,1504,1025,1779,1506,402,247,1283,32916,
,Wodonga (RC),56,29,78,132,119,256,366,453,596,522,546,363,395,135,95,198,149,46,28,220,9967,
,Wyndham (C),357,139,212,405,391,819,1083,1644,2282,2437,2922,2383,3283,1701,1199,1834,1663,420,290,1294,32458,
,Yarra (C),170,90,73,128,108,190,232,324,353,361,393,321,720,284,370,581,1256,666,515,342,29456,
,Yarra Ranges (S),454,200,309,625,613,1144,1486,1925,2145,2066,2254,1785,2401,1235,809,1597,1422,381,280,1437,32000,
,Yarriambiack (S),37,5,42,87,99,121,73,50,46,18,12,3,14,3,0,8,3,4,0,40,2949,
,Unincorporated Vic,3,0,0,0,0,3,3,3,3,7,4,0,7,0,3,6,6,4,3,5,1597,
,Aurukun (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,
,Balonne (S),44,3,9,9,13,27,38,35,44,41,21,9,25,9,6,11,15,3,10,37,1977,
,Banana (S),94,7,9,40,50,67,75,103,120,127,140,90,129,49,37,95,74,31,24,123,5366,
,Barcaldine (R),40,0,11,24,18,26,17,26,16,10,12,4,6,0,8,9,3,4,13,19,1629,
,Barcoo (S),9,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,258,
,Blackall Tambo (R),16,0,3,13,16,20,27,20,16,9,8,6,4,0,0,5,0,5,13,19,1036,
,Boulia (S),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,
,Brisbane (C),2832,1144,1139,2254,2086,3706,5110,6435,7402,7283,8707,7268,13034,6785,6065,12618,17852,6395,4975,6082,298396,
,Bulloo (S),3,0,3,5,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,235,
,Bundaberg (R),257,72,206,418,382,713,821,921,1071,910,961,610,712,300,189,421,349,117,96,602,30946,
,Burdekin (S),99,12,19,69,79,124,171,210,192,117,155,80,120,32,26,49,64,15,20,118,6312,
,Burke (S),0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,359,
,Cairns (R),344,120,176,372,371,712,1176,1392,1781,1597,1880,1423,2045,985,611,1480,1351,383,285,1000,51641,
,Carpentaria (S),7,0,0,7,9,9,9,10,10,3,0,0,5,0,0,0,3,0,6,13,1321,
,Cassowary Coast (R),91,17,41,104,93,203,223,251,295,201,243,147,222,66,42,109,113,36,42,206,10938,
,Central Highlands (R),103,12,20,36,44,82,84,112,158,141,208,191,280,190,134,280,287,75,65,184,10760,
,Charters Towers (R),69,3,10,46,42,80,101,135,107,108,105,78,74,46,26,43,55,10,22,107,4316,
,Cherbourg (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,
,Cloncurry (S),10,0,3,3,6,7,6,14,11,19,12,7,11,8,0,4,10,3,3,19,1341,
,Cook (S),12,8,5,16,7,25,28,32,20,19,18,8,15,3,3,11,8,0,0,25,2051,
,Croydon (S),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198,
,Diamantina (S),0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,
,Doomadgee (S),0,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,
,Etheridge (S),6,3,3,4,5,8,6,9,0,0,0,0,7,0,3,0,0,0,0,13,689,
,Flinders (S),22,0,0,15,12,27,16,17,10,5,0,0,3,0,3,0,6,0,3,16,855,
,Fraser Coast (R),268,71,210,425,377,714,823,893,999,840,959,632,796,348,201,463,375,105,75,626,34862,
,Gladstone (R),127,50,64,131,134,254,341,418,515,471,597,482,879,462,366,794,935,231,112,478,17218,
,Gold Coast (C),1427,389,590,1126,900,1745,2473,2943,3835,3488,4688,3795,6337,3450,2838,6482,8062,2571,2146,3870,158180,
,Goondiwindi (R),76,6,5,29,33,62,97,103,122,89,76,52,58,24,22,40,42,16,18,79,3766,
,Gympie (R),161,53,112,244,208,395,454,460,568,434,480,361,409,165,132,231,192,39,57,367,16234,
,Hinchinbrook (S),58,3,13,50,40,96,80,94,101,70,71,44,56,18,13,33,29,10,4,73,4715,
