Mortgage Repayments (monthly) Ranges (MRERD),lga,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999",$5000 and over,Not stated,Not applicable,
,York (S),18,3,11,23,10,26,39,34,34,33,38,18,35,20,11,31,27,10,9,23,1356,
,Unincorporated WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,
,Break O'Day (M),26,5,18,60,41,68,75,73,58,32,35,22,31,6,3,11,9,5,3,36,3733,
,Brighton (M),33,11,41,86,89,179,233,246,265,208,216,163,172,71,25,78,56,17,14,92,3657,
,Burnie (C),44,18,63,130,126,229,276,359,290,247,176,88,119,36,27,60,50,8,12,102,6187,
,Central Coast (M),61,22,68,151,139,240,290,316,345,254,245,130,173,49,25,67,67,23,33,121,6646,
,Central Highlands (M),16,3,10,23,29,26,22,36,27,17,10,5,3,4,0,4,3,0,0,13,2420,
,Circular Head (M),34,10,15,39,68,112,120,136,126,92,76,41,64,18,12,15,22,9,11,62,2749,
,Clarence (C),129,76,172,268,258,487,615,754,713,618,742,523,627,269,179,379,354,114,69,281,14752,
,Derwent Valley (M),25,10,33,78,81,117,136,202,183,135,106,52,70,29,10,34,24,8,11,77,2826,
,Devonport (C),47,25,62,118,127,259,329,371,412,315,273,136,151,50,22,65,64,13,9,117,8106,
,Dorset (M),40,11,30,67,46,101,101,84,78,51,43,22,25,6,4,19,16,6,5,56,2955,
,Flinders (M),7,0,3,3,8,10,3,10,9,0,3,0,3,0,0,0,4,0,0,7,596,
,George Town (M),24,10,20,51,48,70,78,96,88,77,40,29,45,11,9,23,13,4,8,50,2725,
,Glamorgan/Spring Bay (M),21,6,8,30,31,36,46,44,34,30,31,11,16,0,3,12,6,9,7,17,3570,
,Glenorchy (C),95,50,124,231,248,449,547,605,806,768,663,399,400,149,59,155,110,33,31,260,14267,
,Hobart (C),134,73,109,166,162,309,363,389,428,436,454,337,554,247,165,369,469,177,149,223,17545,
,Huon Valley (M),50,28,59,123,119,214,211,235,267,180,180,104,125,44,29,59,55,12,10,123,5207,
,Kentish (M),20,6,34,55,48,85,70,103,79,59,63,40,42,19,10,15,12,0,14,44,1866,
,King Island (M),10,0,3,8,13,17,18,22,16,10,3,3,9,3,0,3,3,3,3,9,725,
,Kingborough (M),105,45,91,190,162,298,325,418,438,453,470,351,483,185,114,265,252,72,49,178,9934,
,Latrobe (M),38,12,32,64,53,113,103,118,145,98,119,79,88,30,17,36,29,11,11,75,3400,
,Launceston (C),129,61,162,327,306,654,820,918,1015,871,773,458,518,146,95,242,213,76,56,361,20998,
,Meander Valley (M),85,19,48,118,108,190,266,293,294,239,216,157,173,64,36,100,83,18,20,122,5694,
,Northern Midlands (M),60,11,25,85,71,124,142,179,193,146,140,97,92,27,15,43,42,21,7,89,4135,
,Sorell (M),42,15,37,104,117,183,246,252,281,181,206,134,165,59,41,82,53,14,12,108,4259,
,Southern Midlands (M),22,10,27,65,49,98,93,103,105,78,82,49,45,17,4,20,18,6,4,55,1750,
,Tasman (M),3,4,12,19,20,38,38,21,14,17,20,4,9,0,0,11,3,3,8,22,2089,
,Waratah/Wynyard (M),43,15,55,70,90,162,200,224,201,156,139,69,92,37,16,35,40,14,12,77,4510,
,West Coast (M),4,4,32,50,46,96,63,52,31,23,13,4,13,3,3,5,5,0,0,24,2737,
,West Tamar (M),56,34,61,142,131,232,276,300,330,302,306,186,219,85,50,115,123,27,24,120,6805,
,Unincorporated Tas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
,Alice Springs (T),37,10,25,38,45,85,133,192,284,217,273,257,367,176,112,295,327,79,53,169,7915,
,Barkly (S),15,3,0,15,11,28,22,27,16,9,10,0,6,0,0,0,0,3,0,11,2282,
,Belyuen (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,
,Central Desert (S),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,
,Coomalie (S),6,0,3,3,3,3,12,10,11,8,10,4,5,0,3,4,5,3,3,6,679,
,Darwin (C),121,41,84,107,93,218,268,434,504,449,610,423,737,360,295,811,1136,387,283,399,22838,
,East Arnhem (S),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,
,Katherine (T),16,0,3,11,17,26,40,49,80,66,95,65,68,26,17,42,44,16,12,43,3136,
,Litchfield (M),47,4,19,54,38,72,95,149,165,132,232,163,259,113,80,281,463,171,112,177,4703,
,MacDonnell (S),3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,
,Palmerston (C),30,14,17,38,39,83,135,176,204,212,269,240,396,205,173,516,596,168,62,171,6630,
,Roper Gulf (S),5,3,7,3,3,5,3,6,3,0,0,3,3,0,0,0,3,0,4,8,2062,
,Tiwi Islands (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,
,Victoria-Daly (S),9,0,0,0,4,0,5,3,3,0,0,0,0,0,0,0,0,0,0,8,1854,
,Wagait (S),0,0,0,0,0,3,8,4,15,3,0,4,4,5,0,9,12,4,3,3,155,
,West Arnhem (S),0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1884,
,Unincorporated NT,3,3,0,12,9,6,8,8,13,11,7,12,16,7,8,9,12,3,0,14,3655,
,Unincorporated ACT,835,483,543,864,780,1454,1934,2494,2586,2718,3437,3170,5425,3138,2390,5734,7199,2326,1448,1694,94819,
,Unincorp. Other Territories,5,0,3,0,0,3,3,4,3,3,7,8,4,0,0,3,4,3,0,3,876,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
