lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Republic of the Union of Myanmar),Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,"Bolivia, Plurinational State of",Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,"Venezuela, Bolivarian Republic of","South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Quilpie (S),0,0,871,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Redland (C),0,0,101847,3,0,7597,0,6,389,18,9,0,0,5,0,0,0,0,0,0,23,260,3,12,56,0,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9803,10,170,1351,285,3,13,406,0,116,35,136,783,0,3,0,703,95,0,93,0,289,0,9,23,79,0,0,0,0,6,0,283,107,51,0,54,71,5,48,15,148,23,22,79,0,40,29,0,50,0,28,9,43,9,96,30,13,208,75,20,40,0,0,3,76,0,8,24,3,0,0,3,0,3,4,50,10,20,4,3,40,5,4,8,7,55,20,0,0,0,33,22,4,146,137,3,3,181,194,627,109,9,0,0,295,115,0,0,152,0,97,0,67,0,0,3,0,470,0,11,25,184,0,18,0,3,0,4,9,0,0,0,0,0,11,303,0,485,3,28,0,25,35,32,3,0,0,4,7,13,3,16,18,0,0,0,0,39,0,0,14,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,3,0,0,0,12,0,11,0,0,8,11,3,0,0,0,0,6,47,3,0,3,34,0,4,8,0,0,0,6,0,2011,4,17,11,49,274,0,37,0,5415
Richmond (S),0,0,718,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Rockhampton (R),0,0,91185,0,0,1987,0,6,186,15,6,0,0,0,0,0,3,0,0,0,3,125,0,0,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2083,0,42,318,87,0,3,107,0,39,8,33,269,0,0,0,198,34,0,28,0,15,0,0,10,18,0,0,0,0,0,0,55,15,3,0,16,21,0,0,5,21,3,0,16,0,11,5,0,8,0,8,0,12,0,17,3,5,27,11,3,14,0,0,0,27,0,0,16,0,0,0,12,0,0,0,49,17,0,4,5,6,3,0,3,0,7,6,0,0,0,47,0,8,100,332,0,4,41,94,573,45,4,0,0,160,44,0,0,22,0,65,0,104,0,3,102,0,370,3,74,39,126,0,69,0,0,0,3,3,0,0,0,0,0,0,105,0,223,0,9,0,259,7,10,0,0,0,0,0,8,0,3,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,23,7,0,0,0,4,0,0,3,0,0,0,27,0,0,4,0,4,4,14,5,0,0,0,0,26,0,0,4,10,0,4,11,0,0,0,4,3,526,0,4,6,11,134,0,14,0,8064
Scenic Rim (R),0,0,29360,0,0,1254,0,3,73,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1847,9,45,186,58,3,0,58,0,31,26,31,255,0,0,0,200,15,0,23,0,22,0,3,7,27,0,0,0,0,0,0,26,16,4,0,11,11,0,0,0,11,4,3,0,0,7,5,0,10,0,6,0,6,3,24,4,5,28,10,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,6,0,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,5,31,9,0,0,34,38,83,17,0,0,0,29,13,0,0,8,0,40,0,73,0,0,0,0,51,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,142,0,3,0,8,6,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,6,0,0,4,0,0,0,0,3,142,0,3,4,8,35,0,9,0,1674
Somerset (R),0,0,17933,0,0,555,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,13,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,810,0,18,114,30,0,0,29,0,11,11,15,124,0,0,0,103,3,0,10,0,7,0,0,0,8,0,0,0,0,0,0,19,10,3,0,3,9,0,0,0,9,0,0,0,0,3,4,0,0,0,0,0,3,0,4,0,0,17,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,50,0,0,11,10,191,10,0,0,0,63,0,0,0,3,0,6,0,6,0,0,0,0,17,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,45,0,4,0,4,13,0,3,0,1096
South Burnett (R),0,0,26619,0,0,607,0,4,37,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,922,0,19,114,16,3,0,20,0,16,19,24,148,0,0,0,116,16,0,5,0,11,0,0,0,3,0,0,0,0,0,0,21,12,0,0,4,15,0,0,0,6,4,0,0,0,3,5,0,3,0,3,0,0,0,12,5,0,10,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,12,33,0,0,12,13,183,8,0,0,0,25,4,0,0,0,0,4,0,4,0,0,10,0,31,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,68,0,9,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,92,0,3,0,0,28,0,4,0,1498
Southern Downs (R),0,0,28937,0,0,482,0,4,33,5,0,0,0,0,0,0,0,0,0,0,8,28,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,24,105,19,0,0,44,0,18,4,20,132,0,0,0,157,27,0,18,0,15,0,5,0,7,0,0,0,0,0,0,301,11,3,0,9,27,0,0,0,38,3,6,3,0,3,5,0,7,0,4,0,3,3,8,3,4,29,7,0,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,19,0,0,0,8,30,142,13,0,0,0,40,4,0,0,36,0,21,0,37,0,0,3,0,36,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,71,0,3,0,19,13,3,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,8,0,0,0,0,0,67,0,0,0,0,29,0,9,0,1599
Sunshine Coast (R),0,0,230951,8,0,14909,0,45,709,51,36,0,3,0,0,0,10,0,0,0,32,280,4,5,53,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20249,13,391,2132,638,14,52,674,0,333,138,455,2196,0,3,0,1616,340,0,250,0,182,0,7,89,217,0,0,0,0,3,0,581,205,36,0,112,119,5,32,14,180,45,30,110,0,51,46,0,41,9,54,0,106,18,216,53,22,269,81,44,63,0,3,7,117,14,34,12,7,0,0,5,0,12,0,34,12,48,4,6,40,7,0,37,13,43,44,5,0,0,52,24,4,398,144,3,14,312,369,922,235,9,0,0,335,199,6,3,73,0,372,0,122,0,0,21,0,670,0,43,54,216,0,10,0,0,0,11,0,0,0,3,0,0,8,873,0,1449,5,85,3,130,82,31,9,0,0,14,3,24,3,40,24,0,0,5,0,31,3,3,24,3,3,11,0,0,4,4,11,3,12,0,0,0,0,4,18,3,0,4,0,6,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,10,0,0,3,0,0,0,28,0,0,3,0,8,4,7,0,0,0,0,24,146,3,3,15,96,0,9,29,3,0,0,68,0,2448,4,34,11,105,727,0,74,3,15184
Tablelands (R),0,0,34520,0,0,940,0,0,239,7,5,0,0,0,0,0,0,0,0,0,7,20,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1470,0,26,141,38,0,0,55,0,46,14,60,376,0,0,0,218,85,0,29,0,27,0,0,6,27,0,0,0,0,0,0,811,20,4,0,38,25,8,8,4,75,6,0,21,0,7,16,3,6,0,7,0,14,17,26,6,4,26,14,0,19,0,0,0,3,5,0,0,0,0,0,0,0,0,0,11,0,3,4,0,0,0,0,0,0,9,0,0,0,0,5,0,10,58,20,0,0,74,36,178,17,0,0,0,37,10,0,0,10,0,47,0,34,0,0,0,0,83,0,16,5,11,0,0,0,0,0,3,0,0,0,15,0,0,0,75,0,160,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,3,0,12,0,0,0,0,0,0,6,0,119,0,5,3,8,84,0,21,0,2862
Toowoomba (R),0,0,127653,0,0,2288,0,4,350,26,7,0,0,6,0,0,0,0,0,0,3,192,0,0,17,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3263,11,92,478,100,4,3,178,0,50,13,56,421,0,0,0,412,44,0,83,0,43,0,3,13,22,0,0,0,0,3,0,118,27,14,0,15,27,0,4,8,36,16,3,19,0,21,4,0,11,0,10,3,17,0,47,13,4,60,19,3,23,0,0,0,38,115,5,336,4,0,0,86,0,3,4,58,105,5,4,10,15,15,8,174,4,12,35,0,0,0,45,5,6,94,81,3,5,96,299,701,143,3,0,0,407,104,3,0,97,0,81,0,115,0,0,81,0,576,0,106,50,158,0,11,0,0,0,0,0,0,0,0,0,3,7,196,0,351,0,33,0,119,13,10,3,0,0,0,0,5,5,3,3,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,20,109,3,0,0,0,11,0,0,23,0,0,4,15,0,0,16,0,3,0,4,19,0,0,0,19,93,0,0,25,10,0,0,11,0,7,0,3,6,837,0,25,43,44,528,0,33,0,7746
Torres (S),0,0,2637,0,0,55,0,0,63,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,8,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,386
Torres Strait Island (R),0,0,4176,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Townsville (C),0,0,139830,3,0,4484,0,9,819,46,17,0,5,7,0,0,3,0,4,0,105,266,3,5,54,0,104,30,3,0,0,0,0,0,0,0,0,0,0,0,0,16,4936,0,114,728,157,3,0,250,0,91,35,157,707,0,4,0,398,97,0,122,0,67,0,0,46,92,0,0,0,0,0,0,443,50,24,0,67,47,6,13,14,34,49,7,112,0,30,23,0,23,0,25,0,43,5,46,13,8,84,61,15,31,0,0,7,43,3,12,47,0,0,0,13,0,3,5,52,33,13,3,4,15,14,7,29,0,11,15,0,0,0,61,12,22,261,185,0,14,129,342,1209,122,13,0,0,341,112,4,5,26,0,118,0,189,0,0,55,3,905,3,45,49,214,0,12,0,0,0,4,0,0,0,3,0,0,3,369,0,567,0,31,3,54,31,38,10,0,0,6,0,26,4,9,6,0,0,0,6,68,0,3,17,4,0,3,0,0,0,3,11,0,7,0,0,0,0,0,3,8,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,18,0,0,0,0,25,0,0,18,0,0,0,28,0,0,6,0,5,0,10,3,0,0,22,13,78,0,4,9,43,0,3,8,0,21,0,39,87,930,0,27,17,58,309,0,38,0,11449
Weipa (T),0,0,2594,0,0,92,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,5,0,0,0,7,0,0,0,0,10,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,45,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,14,0,0,0,381
Western Downs (R),0,0,27162,0,0,432,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,6,46,12,0,0,46,0,5,0,9,69,0,0,0,50,3,0,6,0,9,0,0,0,9,0,0,0,0,0,0,12,12,0,0,7,3,0,0,0,4,0,0,9,3,18,0,0,0,0,3,0,3,0,9,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,7,6,0,0,15,19,219,5,0,0,0,23,8,0,0,3,0,14,0,5,0,0,3,0,44,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,44,0,8,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,40,0,0,0,2423
Whitsunday (R),0,0,23468,0,0,1083,0,0,45,3,5,0,0,0,0,0,0,0,0,0,10,22,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1092,4,9,141,43,0,4,66,0,15,12,66,164,0,0,0,91,31,0,13,0,10,0,0,7,14,0,0,0,0,0,0,71,10,3,0,15,10,0,0,4,19,10,0,11,0,5,0,0,0,0,4,0,5,10,17,0,0,22,4,3,3,0,0,0,6,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,12,4,0,0,0,3,0,0,46,39,0,0,25,34,233,15,0,0,0,26,16,0,0,24,0,35,0,170,0,0,0,0,21,0,3,8,18,0,4,0,0,0,0,0,0,0,0,0,0,0,64,0,76,0,3,0,8,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,189,0,0,0,0,45,0,6,0,3520
Winton (S),0,0,1188,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Woorabinda (S),0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
