lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Rockhampton (R),821,73715,433,417,23,444,20955,636,11889
Scenic Rim (R),332,24900,21,38,30,193,7647,334,2957
Somerset (R),187,14527,12,25,4,115,4663,118,1983
South Burnett (R),183,21182,29,30,12,186,6275,223,2903
Southern Downs (R),148,25243,40,42,4,133,5436,214,2622
Sunshine Coast (R),4178,189890,516,486,329,1370,81268,3127,25750
Tablelands (R),423,26861,66,191,22,268,10367,434,5095
Toowoomba (R),1068,112651,536,919,49,631,22725,933,11678
Torres (S),9,2398,3,15,0,33,310,32,452
Torres Strait Island (R),3,3444,0,0,0,23,312,179,290
Townsville (C),1504,113798,680,569,64,733,38215,1524,17367
Weipa (T),31,1902,3,9,0,10,801,23,549
Western Downs (R),68,23602,55,46,0,60,4385,116,3255
Whitsunday (R),258,18991,39,54,16,73,7301,294,4407
Winton (S),6,1039,0,5,0,4,170,3,114
Woorabinda (S),3,588,0,0,0,0,123,6,227
Wujal Wujal (S),0,251,0,0,0,0,17,0,0
Yarrabah (S),0,2156,0,0,0,0,189,8,43
Unincorporated Qld,4,277,0,0,0,0,111,3,78
No Usual Address (Qld),177,6315,47,78,14,83,3281,176,2378
Adelaide (C),1097,7621,374,628,31,201,6704,250,2722
Adelaide Hills (DC),467,20441,32,39,46,192,13606,482,3320
Alexandrina (DC),179,13228,24,23,5,144,7576,224,2292
Anangu Pitjantjatjara (AC),6,851,0,4,0,860,421,3,289
Barossa (DC),81,14590,9,15,9,73,5606,155,1625
Barunga West (DC),4,1648,0,0,0,9,562,12,222
Berri and Barmera (DC),40,6215,14,20,3,187,2962,71,1075
Burnside (C),940,24935,564,386,168,313,11252,286,3352
Campbelltown (C) (SA),1046,32414,788,618,55,760,9122,315,3042
Ceduna (DC),20,2379,3,9,0,11,761,22,271
Charles Sturt (C),3057,66805,1006,2034,62,1166,22205,777,7862
Clare and Gilbert Valleys (DC),35,5637,7,3,5,31,2227,64,742
Cleve (DC),4,1183,0,4,0,0,412,5,121
Coober Pedy (DC),46,998,0,20,0,9,344,14,268
Copper Coast (DC),31,7927,6,14,6,18,3787,69,1086
Elliston (DC),9,708,4,0,0,3,241,7,78
Flinders Ranges (DC),12,1032,0,8,0,4,454,12,185
Franklin Harbour (DC),6,773,0,0,0,0,342,7,143
Gawler (T),120,12231,27,40,4,95,5883,202,1932
Goyder (DC),21,2848,3,4,0,25,915,27,315
Grant (DC),11,4633,4,3,0,10,2243,54,891
Holdfast Bay (C),383,20786,227,241,45,207,9367,316,3026
Kangaroo Island (DC),49,2118,0,0,0,13,1642,36,550
Karoonda East Murray (DC),0,734,0,6,0,9,181,4,97
Kimba (DC),0,657,0,0,0,0,333,8,93
Kingston (DC),6,1300,0,0,0,7,666,19,282
Light (RegC),63,8461,5,18,7,35,3894,97,1206
Lower Eyre Peninsula (DC),38,2956,0,5,0,21,1359,37,504
Loxton Waikerie (DC),37,7486,7,28,0,137,2609,73,905
Mallala (DC),62,4582,0,11,3,40,2726,64,866
Maralinga Tjarutja (AC),0,58,0,0,0,3,6,0,10
Marion (C),1255,47278,893,1325,61,808,23678,831,6864
Mid Murray (DC),58,4798,7,14,3,71,2070,82,1034
Mitcham (C),873,36250,487,803,83,454,19071,590,4293
Mount Barker (DC),245,16713,46,52,23,193,9782,383,2330
Mount Gambier (C),128,14587,35,45,3,83,7926,217,2218
Mount Remarkable (DC),13,1879,0,3,0,11,645,9,323
Murray Bridge (RC),144,11024,56,220,11,94,5579,120,2504
Naracoorte and Lucindale (DC),105,5036,9,154,0,18,2015,40,745
Northern Areas (DC),13,2957,3,12,0,14,1126,21,353
Norwood Payneham St Peters (C),718,20052,615,436,64,373,9535,313,2787
Onkaparinga (C),1203,85018,400,655,73,954,55022,1719,14537
Orroroo/Carrieton (DC),0,590,3,3,3,6,183,6,76
Peterborough (DC),15,988,0,6,0,6,513,14,196
Playford (C),1214,40212,158,925,28,471,26893,759,8461
Port Adelaide Enfield (C),5370,59593,2671,3847,52,1680,27947,1076,10576
