lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650 and over,Not stated,Not applicable,
Redland (C),282,366,377,302,258,405,389,544,284,424,339,939,798,1429,928,1108,620,1428,295,274,376,43301,
Richmond (S),44,17,0,15,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,367,
Rockhampton (R),520,397,461,541,525,710,605,1225,741,1410,980,1176,607,719,336,349,58,251,74,92,518,34949,
Scenic Rim (R),319,60,80,114,93,177,144,296,162,329,210,317,175,259,73,105,31,106,22,42,129,12593,
Somerset (R),147,26,44,56,53,138,112,205,135,227,186,228,70,70,23,19,7,11,5,18,78,7697,
South Burnett (R),256,126,125,195,160,364,429,485,288,306,123,157,49,58,13,12,0,13,3,23,128,11338,
Southern Downs (R),230,98,96,270,259,423,429,497,395,404,141,192,53,26,11,3,0,3,4,21,117,11957,
Sunshine Coast (R),1078,889,763,702,713,880,777,1475,1057,2383,2435,3941,2331,3921,2717,2912,1140,2806,775,760,1058,106939,
Tablelands (R),544,197,214,325,307,479,295,509,248,510,298,258,63,122,32,30,3,23,5,21,237,15641,
Toowoomba (R),693,478,453,689,770,1457,1445,1971,1574,2215,1432,1257,551,620,278,225,67,157,45,90,597,46143,
Torres (S),86,142,27,50,53,48,25,27,29,38,18,17,3,9,3,9,0,12,3,7,72,463,
Torres Strait Island (R),30,504,170,75,26,14,3,8,3,0,0,0,0,0,0,0,0,0,0,0,47,345,
Townsville (C),530,589,653,704,640,881,949,2084,1210,1974,1414,2566,1688,2325,1328,1239,306,951,231,310,773,49618,
Weipa (T),78,151,10,18,4,9,14,16,8,25,13,19,10,11,3,22,5,83,48,40,70,764,
Western Downs (R),563,164,114,262,159,234,166,286,148,316,172,243,111,159,55,70,22,69,25,26,249,10670,
Whitsunday (R),294,151,121,138,180,197,189,358,166,347,220,455,189,290,124,222,63,241,68,147,283,11533,
Winton (S),52,30,12,22,12,19,9,9,0,3,0,3,0,0,0,0,0,0,0,0,22,789,
Woorabinda (S),5,43,33,72,19,22,3,0,3,0,0,0,0,0,0,0,0,0,0,0,9,59,
Wujal Wujal (S),4,29,12,11,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
Yarrabah (S),17,45,35,106,47,93,9,8,0,0,0,0,0,0,0,0,0,0,0,0,4,78,
Unincorporated Qld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
Adelaide (C),106,106,247,150,98,168,179,252,155,351,329,366,237,415,322,432,183,536,163,209,168,5684,
Adelaide Hills (DC),136,34,31,88,47,73,76,129,83,170,106,184,74,110,60,49,11,79,24,23,63,13636,
Alexandrina (DC),124,59,88,87,80,186,186,311,197,282,147,112,56,39,8,15,0,8,7,11,63,12133,
Anangu Pitjantjatjara (AC),147,218,19,32,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,374,
Barossa (DC),87,50,73,89,81,130,163,213,163,251,116,101,42,41,5,14,0,9,6,18,59,8016,
Barunga West (DC),22,10,11,32,21,31,27,16,9,5,0,0,0,0,0,0,0,0,0,3,13,1661,
Berri and Barmera (DC),70,95,109,157,203,270,182,83,23,40,22,15,3,5,0,3,0,3,3,12,58,3723,
Burnside (C),150,51,103,64,64,132,109,250,228,380,347,339,174,213,137,162,67,303,137,131,114,15300,
Campbelltown (C) (SA),149,137,365,179,203,216,165,332,279,579,450,604,256,282,150,133,54,108,26,29,184,15870,
Ceduna (DC),45,86,37,57,48,56,27,36,18,42,4,17,4,11,0,0,0,3,3,0,39,1231,
Charles Sturt (C),287,695,1317,725,636,702,634,1016,800,1291,944,1231,561,719,324,345,107,286,125,135,532,34544,
Clare and Gilbert Valleys (DC),68,45,53,68,47,97,91,93,69,58,27,36,5,12,3,3,0,4,7,12,48,3405,
Cleve (DC),41,27,16,10,8,24,8,10,3,0,0,0,0,0,0,0,0,0,0,0,12,846,
Coober Pedy (DC),32,32,37,47,34,44,10,4,0,3,3,0,0,0,0,3,0,0,0,0,18,987,
Copper Coast (DC),68,78,90,110,98,159,118,183,148,145,47,45,12,12,8,9,0,0,4,8,67,6679,
Elliston (DC),32,17,9,8,9,8,4,3,0,3,3,0,0,0,0,0,0,3,0,0,14,725,
Flinders Ranges (DC),12,20,7,18,20,19,11,13,0,3,0,0,0,0,0,0,0,0,0,6,12,817,
Franklin Harbour (DC),19,7,10,4,6,13,8,15,12,7,3,3,0,0,0,0,0,0,0,0,5,705,
Gawler (T),43,106,163,98,93,138,149,281,194,342,225,190,49,33,16,10,5,4,4,11,89,6896,
Goyder (DC),59,35,26,45,27,42,25,28,8,9,0,0,0,0,0,0,0,0,0,6,16,1867,
Grant (DC),87,14,10,47,26,41,30,39,16,13,10,5,0,3,0,0,0,4,0,8,31,3271,
Holdfast Bay (C),144,93,176,168,116,183,236,394,308,505,374,482,216,265,156,172,71,249,102,135,118,12949,
Kangaroo Island (DC),57,23,33,38,44,69,53,72,31,17,7,4,0,0,3,0,0,3,0,14,34,2583,
Karoonda East Murray (DC),31,6,11,18,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,499,
Kimba (DC),22,20,8,20,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,469,
Kingston (DC),61,11,8,22,31,37,32,20,0,3,0,0,0,0,0,0,0,0,0,6,18,1313,
Light (RegC),65,17,22,39,29,82,50,116,50,58,27,42,9,32,16,14,0,6,0,3,24,4585,
Lower Eyre Peninsula (DC),72,18,13,37,38,55,17,24,6,7,15,14,0,6,0,0,0,5,3,3,7,2122,
Loxton Waikerie (DC),100,122,101,155,189,208,97,80,19,26,6,6,0,3,3,0,0,3,0,9,50,4327,
Mallala (DC),46,14,18,28,12,33,27,44,29,43,18,18,4,13,0,4,0,3,0,3,17,2952,
Maralinga Tjarutja (AC),14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,
Marion (C),211,519,1170,629,506,433,407,583,450,855,683,1043,517,634,325,279,75,147,51,70,409,27504,
Mid Murray (DC),83,35,50,75,68,76,56,79,36,23,7,3,0,0,0,0,0,9,0,0,32,5492,
Mitcham (C),175,66,155,160,154,177,200,328,336,495,328,456,244,296,167,162,47,174,64,62,154,21808,
Mount Barker (DC),99,56,127,95,91,94,78,182,150,327,304,272,169,131,76,78,22,40,13,22,92,9657,
Mount Gambier (C),57,181,383,440,355,446,465,402,233,188,77,57,25,15,3,7,3,7,0,22,133,8155,
Mount Remarkable (DC),52,26,15,25,22,25,4,14,4,5,0,0,0,0,0,0,0,0,0,0,11,1394,
Murray Bridge (RC),81,112,260,185,195,269,279,355,275,245,67,64,10,4,3,3,0,8,4,15,117,6320,
Naracoorte and Lucindale (DC),81,33,59,95,68,124,93,103,36,28,3,13,0,3,0,0,0,0,0,7,53,2995,
Northern Areas (DC),47,50,21,47,38,52,19,26,7,7,3,0,0,0,0,0,0,0,4,3,24,1941,
Norwood Payneham St Peters (C),141,219,412,225,181,204,211,435,376,592,419,466,260,313,194,230,97,293,80,96,187,11580,
Onkaparinga (C),294,558,1052,629,591,672,562,1061,1113,2012,1615,1494,610,548,240,176,47,116,52,79,506,53899,
Orroroo/Carrieton (DC),13,7,3,17,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,457,
Peterborough (DC),14,27,17,17,43,14,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,928,
Playford (C),131,524,1142,616,693,648,899,1399,989,1326,812,571,118,101,31,25,7,21,5,54,408,21874,
Port Adelaide Enfield (C),294,836,1961,1004,910,899,818,1322,999,1620,1180,1474,673,842,295,231,71,174,61,101,738,33885,
Port Augusta (C),63,124,200,212,185,344,167,175,66,102,37,47,8,21,3,10,0,8,12,17,103,4723,
Port Lincoln (C),36,99,188,156,149,245,209,193,107,183,119,111,34,38,21,16,0,7,4,9,95,4558,
Port Pirie City and Dists (M),73,156,300,235,233,420,230,168,82,83,25,36,3,13,4,4,0,3,0,6,113,6016,
Prospect (C),70,74,125,85,53,114,121,210,195,311,171,225,143,167,107,79,29,94,20,17,85,6294,
Renmark Paringa (DC),55,65,122,123,160,232,123,74,30,20,13,18,3,3,0,3,0,0,0,10,42,3235,
Robe (DC),25,3,3,6,20,19,14,21,14,13,0,3,0,0,0,0,0,0,0,9,8,1249,
Roxby Downs (M),53,8,21,91,99,130,47,23,8,20,11,26,22,31,29,59,30,115,50,25,56,693,
Salisbury (C),223,532,955,541,689,702,725,1257,955,1792,1370,1307,503,408,140,122,33,143,45,66,517,39124,
Southern Mallee (DC),53,25,22,39,29,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,907,
Streaky Bay (DC),32,15,15,12,14,24,19,22,3,11,0,3,0,0,0,0,0,0,4,10,15,1060,
Tatiara (DC),102,38,41,82,61,93,48,71,10,12,0,10,0,3,0,0,0,0,0,0,32,2500,
Tea Tree Gully (C),184,171,486,261,234,250,228,449,366,885,796,939,359,310,125,86,19,54,13,38,237,32487,
The Coorong (DC),107,47,53,80,58,67,27,26,4,5,0,0,0,0,0,0,0,0,0,4,37,2429,
Tumby Bay (DC),43,11,28,21,23,40,14,24,11,15,5,3,0,0,0,0,0,0,0,0,21,1259,
Unley (C),140,102,262,108,108,179,145,324,269,491,371,460,210,263,182,199,81,304,125,132,135,12249,
