lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650 and over,Not stated,Not applicable,
Mandurah (C),230,145,224,212,299,363,352,695,553,1181,782,1126,522,703,256,194,49,173,53,70,205,27018,
Manjimup (S),94,37,84,103,129,147,68,88,36,47,31,28,3,5,0,0,0,3,0,17,37,3989,
Meekatharra (S),46,30,31,31,15,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,27,309,
Melville (C),355,200,303,216,167,243,137,267,146,306,268,737,445,863,484,693,270,1008,373,548,254,31842,
Menzies (S),9,13,6,12,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3,111,
Merredin (S),37,35,39,63,34,40,22,31,10,14,3,8,3,7,3,3,0,0,0,0,34,1229,
Mingenew (S),17,3,6,16,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,177,
Moora (S),49,20,22,31,26,39,17,23,9,12,0,4,0,5,0,0,0,0,0,0,15,820,
Morawa (S),35,7,4,14,5,14,10,10,4,0,0,0,0,0,0,0,0,0,0,0,12,308,
Mosman Park (T),36,41,71,40,37,43,33,102,68,102,62,99,35,66,47,75,24,98,43,121,30,2708,
Mount Magnet (S),17,13,4,8,15,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,236,
Mount Marshall (S),17,20,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,300,
Mukinbudin (S),22,20,3,8,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,233,
Mullewa (S),30,10,14,7,7,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,317,
Mundaring (S),118,39,46,60,48,77,42,78,49,94,78,196,92,168,72,99,39,142,28,18,73,12187,
Murchison (S),7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,
Murray (S),93,17,20,54,52,63,56,122,50,111,79,112,51,99,15,27,6,25,9,5,60,5627,
Nannup (S),31,3,14,15,19,14,11,11,0,8,0,0,0,0,0,0,0,0,0,4,11,721,
Narembeen (S),21,9,4,19,7,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,11,343,
Narrogin (S),16,3,0,10,0,3,6,9,4,0,0,0,0,0,0,3,0,0,0,0,3,305,
Narrogin (T),22,10,51,53,49,69,50,53,19,48,15,28,3,3,3,6,0,7,3,3,28,1430,
Nedlands (C),103,36,55,34,34,33,35,71,32,49,22,66,30,77,43,89,39,211,126,471,67,6341,
Ngaanyatjarraku (S),85,216,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,179,
Northam (S),56,40,87,81,75,91,63,112,54,98,41,46,9,24,7,6,3,11,0,5,40,3827,
Northampton (S),45,11,18,32,26,44,36,44,20,28,20,15,3,4,5,3,0,11,3,13,23,2289,
Nungarin (S),3,15,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,
Peppermint Grove (S),15,0,0,0,0,0,0,7,3,10,3,9,3,3,0,4,0,10,3,34,4,474,
Perenjori (S),19,4,3,4,3,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,10,230,
Perth (C),137,94,143,53,62,65,44,64,89,164,129,201,115,238,196,351,194,1126,625,660,212,6023,
Pingelly (S),17,18,5,17,14,18,10,14,0,0,0,0,0,0,0,0,0,0,0,0,4,487,
Plantagenet (S),70,29,13,41,32,40,68,67,26,20,8,8,0,0,0,0,0,0,0,3,18,1969,
Port Hedland (T),326,407,130,414,139,104,50,57,23,38,14,41,3,14,0,16,0,23,26,535,351,3344,
Quairading (S),27,22,12,5,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,458,
Ravensthorpe (S),38,7,3,20,13,23,14,24,17,78,8,24,3,11,6,14,0,3,0,5,25,1036,
Rockingham (C),241,153,284,219,248,333,346,746,490,1009,880,1456,852,1254,552,457,84,285,65,90,283,32140,
Roebourne (S),634,860,123,216,142,197,124,113,35,68,26,69,16,23,16,63,8,92,41,712,617,4323,
Sandstone (S),16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
Serpentine-Jarrahdale (S),87,8,13,27,14,40,13,43,17,62,31,75,28,94,76,77,12,54,16,9,41,5603,
Shark Bay (S),41,12,7,24,20,26,19,25,6,8,0,3,0,0,0,3,0,8,5,17,41,725,
South Perth (C),234,179,242,165,189,175,110,218,128,273,307,746,410,652,378,445,152,703,298,454,197,13145,
Stirling (C),645,746,1261,691,721,745,566,1130,803,1851,1569,3344,1737,2971,1297,1581,477,1780,702,805,826,63310,
Subiaco (C),98,93,161,52,79,75,64,161,119,199,136,243,145,197,117,238,95,512,306,386,112,5549,
Swan (C),279,256,411,291,249,282,220,369,194,415,404,1060,679,1112,535,639,219,453,102,89,331,32939,
Tammin (S),18,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,155,
Three Springs (S),33,10,3,8,8,15,3,7,0,0,0,0,0,0,0,0,0,0,0,0,9,256,
Toodyay (S),23,3,12,18,5,15,20,22,8,30,16,21,3,15,4,4,0,3,0,3,20,2020,
Trayning (S),9,10,8,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,192,
Upper Gascoyne (S),13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,82,
Victoria Park (T),128,166,321,183,201,155,122,274,222,356,293,699,367,583,363,435,145,448,174,188,199,9749,
Victoria Plains (S),47,15,10,24,8,8,4,3,0,3,0,3,0,0,0,0,0,0,0,0,10,386,
Vincent (T),129,116,189,105,77,140,107,227,161,314,211,419,204,464,261,521,233,918,305,249,151,9929,
Wagin (S),26,18,15,30,18,36,15,6,3,0,3,0,0,0,0,0,0,0,0,0,8,776,
Wandering (S),14,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,3,226,
Wanneroo (C),271,197,344,294,265,266,186,327,200,431,386,1235,894,1576,961,1252,461,960,207,183,335,45141,
Waroona (S),24,4,11,15,13,31,30,51,18,39,14,17,0,10,3,0,0,0,0,0,7,1580,
West Arthur (S),30,8,3,14,6,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,397,
Westonia (S),6,8,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,139,
Wickepin (S),12,11,3,7,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,353,
Williams (S),38,8,4,19,6,8,3,11,5,9,0,0,0,0,0,0,0,0,0,0,3,356,
Wiluna (S),35,19,3,13,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,150,
Wongan-Ballidu (S),30,18,21,24,12,24,13,11,0,3,0,0,0,0,0,0,0,0,0,0,18,595,
Woodanilling (S),14,3,0,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,171,
Wyalkatchem (S),15,3,4,13,10,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,266,
Wyndham-East Kimberley (S),209,249,116,144,104,58,52,61,24,40,27,42,12,16,5,34,0,67,68,123,187,2565,
Yalgoo (S),13,3,0,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61,
Yilgarn (S),46,14,9,28,13,20,13,11,3,5,3,0,0,0,0,0,0,0,0,0,11,658,
York (S),34,12,19,14,10,22,9,27,9,25,22,24,3,13,0,6,0,0,0,0,20,1533,
Unincorporated WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
Break O'Day (M),62,42,43,46,54,88,89,88,43,26,5,3,0,0,0,0,0,0,0,0,19,3748,
Brighton (M),33,81,257,150,116,155,164,214,124,158,61,80,31,27,13,12,0,13,3,4,69,4212,
Burnie (C),78,93,239,188,228,342,345,311,161,188,58,64,9,12,4,8,3,9,3,8,60,6225,
Central Coast (M),75,70,187,150,136,218,182,246,138,183,72,58,16,13,5,7,0,3,0,8,70,7626,
Central Highlands (M),56,33,11,28,13,24,14,6,7,3,0,0,0,0,0,0,0,0,0,0,19,2444,
Circular Head (M),150,70,53,85,67,106,90,65,21,19,0,0,0,0,0,0,0,0,0,3,44,3058,
Clarence (C),140,126,402,221,231,254,206,362,305,514,354,370,152,201,106,76,35,92,24,27,140,18042,
Derwent Valley (M),40,48,77,52,49,92,74,128,97,89,23,17,7,6,0,0,0,3,0,8,26,3395,
Devonport (C),63,148,324,211,223,295,312,412,326,309,133,87,29,28,4,9,0,5,0,11,103,8036,
Dorset (M),85,63,63,60,41,91,64,64,20,24,14,3,0,3,0,0,0,0,0,4,32,3139,
Flinders (M),22,24,32,19,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,547,
George Town (M),32,41,93,58,72,135,136,122,30,31,13,15,3,3,0,0,0,3,0,8,24,2697,
Glamorgan/Spring Bay (M),51,24,13,28,36,73,46,62,28,25,8,3,0,3,0,3,0,0,0,0,23,3528,
Glenorchy (C),114,168,710,339,354,414,373,541,445,677,497,522,195,151,46,34,11,21,5,38,180,14606,
Hobart (C),182,158,343,252,289,431,443,519,343,615,405,643,332,476,268,319,130,406,135,105,169,16293,
Huon Valley (M),94,39,42,66,67,112,80,163,78,104,66,55,10,14,6,4,0,3,0,6,44,6355,
Kentish (M),46,23,25,20,22,49,31,58,22,22,16,9,3,0,0,3,0,0,0,3,14,2321,
King Island (M),50,41,12,25,20,40,16,11,3,0,3,3,0,0,0,0,0,0,0,0,24,653,
Kingborough (M),116,40,149,107,101,134,86,161,128,252,249,326,187,215,103,72,27,73,7,19,70,12282,
Latrobe (M),55,27,64,73,40,90,90,142,87,101,44,42,13,8,0,5,0,0,0,3,18,3765,
Launceston (C),212,297,813,503,606,794,798,1031,695,906,518,495,167,178,51,77,14,66,20,47,233,20681,
Meander Valley (M),121,51,86,88,106,149,128,188,131,149,68,82,14,28,7,5,3,7,0,15,55,6876,
Northern Midlands (M),123,80,85,91,99,109,76,97,64,87,46,40,6,9,3,8,0,4,0,9,70,4645,
Sorell (M),52,19,33,59,33,78,80,108,91,138,93,84,37,29,7,7,3,0,4,5,29,5605,
Southern Midlands (M),58,32,35,44,22,32,21,26,9,27,5,17,0,0,0,0,0,0,0,0,36,2323,
Tasman (M),21,7,5,12,18,37,21,28,6,12,0,0,0,0,0,0,0,0,0,0,7,2183,
Waratah/Wynyard (M),60,59,159,109,108,145,160,175,95,95,38,29,5,13,5,0,0,0,0,8,49,4950,
West Coast (M),76,113,30,90,111,93,26,28,0,12,3,4,0,3,0,3,0,0,0,0,49,2574,
West Tamar (M),75,30,82,63,80,151,140,149,141,168,137,129,35,35,17,18,3,18,4,9,46,8389,
Unincorporated Tas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
Alice Springs (T),359,283,145,146,102,110,69,136,57,204,92,232,113,209,111,221,63,483,155,127,326,7343,
Barkly (S),218,370,54,63,43,40,11,47,9,16,4,21,3,8,3,15,0,13,3,9,200,1323,
Belyuen (S),3,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,
Central Desert (S),118,387,12,5,8,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,71,484,
Coomalie (S),36,27,7,6,3,9,7,7,3,6,0,12,0,3,0,4,0,3,3,14,20,605,
Darwin (C),260,662,275,303,150,261,393,549,242,503,298,825,311,710,449,812,289,1791,935,980,463,19155,
East Arnhem (S),191,513,97,124,40,19,15,9,8,4,0,3,0,3,0,0,0,0,0,0,125,389,
Katherine (T),113,151,55,111,82,109,78,179,73,110,56,81,27,61,27,38,3,33,4,19,108,2376,
Litchfield (M),150,36,24,46,8,43,27,71,18,65,25,71,23,71,21,47,11,151,76,73,64,6401,
MacDonnell (S),147,518,55,9,14,3,7,3,0,3,0,3,0,0,0,0,0,8,0,17,144,914,
Palmerston (C),125,283,148,131,82,90,125,341,86,107,68,164,94,223,118,344,172,806,352,126,197,6186,
Roper Gulf (S),184,376,61,81,20,29,30,11,10,0,4,3,0,0,0,3,0,3,0,12,71,1223,
Tiwi Islands (S),63,382,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,152,
Victoria-Daly (S),222,452,83,56,27,16,26,7,8,14,3,3,0,0,0,3,0,4,0,5,118,832,
Wagait (S),8,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,205,
West Arnhem (S),223,357,102,87,43,43,29,22,3,9,4,11,0,0,3,4,0,3,4,9,131,820,
Unincorporated NT,412,643,189,86,39,119,27,34,13,14,9,11,3,17,3,9,0,22,33,74,222,1841,
Unincorporated ACT,878,1257,2346,1267,1071,1051,759,1225,776,1136,847,1893,1154,2935,2807,4240,2269,7241,2468,1653,1301,104891,
Unincorp. Other Territories,54,96,31,14,31,28,14,18,8,18,10,13,0,6,0,0,0,8,3,16,57,500,
