lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Carnarvon (S),45,42,349,246,890,30,858,3081
Chapman Valley (S),9,9,112,81,255,7,152,794
Chittering (S),42,47,279,372,1165,35,549,2978
Claremont (T),968,302,2618,745,567,78,875,3895
Cockburn (C),2983,1622,12217,7703,18298,760,7437,53463
Collie (S),30,32,303,362,1964,33,938,5139
Coolgardie (S),22,24,122,146,661,14,462,2168
Coorow (S),3,3,50,66,194,3,106,609
Corrigin (S),0,12,72,43,167,7,130,714
Cottesloe (T),742,242,2194,567,463,65,545,2779
Cranbrook (S),4,5,61,55,188,3,124,636
Cuballing (S),4,17,34,46,153,5,126,478
Cue (S),0,4,13,8,27,5,47,100
Cunderdin (S),8,0,77,50,257,6,137,914
Dalwallinu (S),6,10,91,70,211,0,147,891
Dandaragan (S),27,18,212,190,651,18,352,1755
Dardanup (S),105,128,844,820,3099,59,1116,7864
Denmark (S),168,127,663,480,1026,53,615,2714
Derby-West Kimberley (S),96,83,392,234,979,22,1285,4636
Donnybrook-Balingup (S),72,79,444,411,1101,36,659,3067
Dowerin (S),5,5,35,39,95,4,64,453
Dumbleyung (S),0,5,63,30,95,0,74,405
Dundas (S),5,5,30,22,113,3,154,431
East Fremantle (T),492,266,1606,631,764,57,545,3016
East Pilbara (S),95,70,634,478,2555,44,2104,4603
Esperance (S),97,151,826,737,2539,73,1785,8016
Exmouth (S),36,30,247,178,646,14,275,1294
Fremantle (C),1962,867,5483,2178,3528,217,2804,11846
Gingin (S),39,32,283,269,1059,54,575,2903
Gnowangerup (S),12,8,74,63,190,10,140,718
Goomalling (S),9,13,58,49,154,3,119,621
Gosnells (C),3379,1092,11701,7852,18871,817,8276,66090
Greater Geraldton (C),397,438,2376,2199,7474,198,3871,21687
Halls Creek (S),41,18,133,71,279,4,750,1974
Harvey (S),216,266,1766,1619,5474,144,2247,14825
Irwin (S),21,25,161,211,762,10,376,1997
Jerramungup (S),3,6,86,55,201,7,125,627
Joondalup (C),4770,3087,21534,13704,26805,1189,7909,75443
Kalamunda (S),1285,859,5705,4381,10624,370,3837,30390
Kalgoorlie/Boulder (C),480,268,2057,1466,5757,121,3089,16821
Karratha (C),325,198,1696,1268,4519,68,2789,10616
Katanning (S),21,30,222,146,628,8,592,2496
Kellerberrin (S),9,8,64,54,184,5,170,739
Kent (S),0,9,41,28,78,5,66,337
