lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,Pitcairn,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfur,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,Yezidi,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic North American,Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian Tobagonian,Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi,Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
North Burnett (R),9,0,3195,17,0,0,0,9,14,0,0,0,9,0,0,0,0,0,0,0,0,5,4,0,63,0,0,0,0,0,0,0,0,3792,478,11,0,0,0,511,0,0,50,0,27,524,11,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,64,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,89,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,58,13,0,0,12,70,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,1268
Northern Peninsula Area (R),6,0,252,1381,3,762,0,6,0,0,0,0,8,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,136,7,0,0,0,0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,111
Palm Island (S),0,0,125,2142,0,20,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Paroo (S),0,0,667,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,59,0,0,0,0,97,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
Pormpuraaw (S),0,0,64,573,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Quilpie (S),0,0,275,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,33,0,0,0,0,68,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Redland (C),36,0,33890,115,39,10,0,845,1051,0,0,8,107,5,0,0,0,0,4,10,61,121,13,155,125,0,8,6,4,0,0,9,26,66415,7999,409,3,3,3,9181,0,116,1369,6,332,3936,101,44,3,0,0,18,220,373,14,50,103,0,14,0,0,0,2134,242,144,208,0,0,66,12,71,29,331,532,36,4,4,46,0,138,30,50,0,0,23,10,81,12,206,73,26,516,270,30,108,0,0,4,16,0,48,19,0,0,123,0,5,11,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,4,5,0,0,0,0,91,3,70,16,0,0,0,0,16,0,0,6,30,0,19,6,164,179,4,0,0,0,0,0,754,66,0,0,40,0,5,0,0,0,0,0,0,3,0,0,1386,57,0,0,119,100,4,0,0,0,30,23,7,0,0,924,0,37,50,33,48,22,0,4,0,35,0,0,0,153,3,4,16,0,0,0,27,3,0,0,0,10,3,0,0,0,0,0,0,0,30,11,0,129,76,9,13,10,3,0,26,9,0,23,38,51,0,4,10,15,7,0,0,5,14,0,29,0,0,3,0,3,0,4,3,6,0,0,0,0,0,0,9,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,34,5,0,4,0,0,29,0,0,0,7,0,949,0,0,9,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,224,9,43,70,80,0,0,7257
Richmond (S),0,0,289,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,300,35,0,0,0,0,41,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Rockhampton (R),0,3,25525,248,169,34,0,130,134,3,0,5,60,3,0,0,6,4,0,5,5,44,4,29,11,0,0,0,0,0,0,4,6,30537,3220,90,0,0,0,4914,0,22,281,0,70,1952,16,10,0,0,0,5,53,24,0,16,27,0,0,0,0,0,524,31,24,59,0,0,12,0,0,0,29,60,0,0,0,14,0,9,8,0,0,0,3,0,0,0,32,6,0,68,47,0,13,0,0,4,0,0,7,0,0,0,14,0,3,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,33,13,11,0,0,0,0,0,6,0,0,0,66,0,0,4,67,382,0,0,0,51,5,0,785,29,0,0,16,0,3,0,0,0,0,0,0,0,0,0,614,17,0,0,21,75,4,0,0,0,21,0,14,0,4,602,0,123,55,29,13,30,0,78,0,15,0,0,0,155,16,0,70,0,0,0,67,3,0,0,0,0,0,26,0,0,0,0,0,0,6,0,3,47,26,0,0,0,0,0,0,4,0,201,4,10,0,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,3,0,7,0,5,3,0,0,4,0,154,0,3,5,70,0,7,0,0,0,0,0,6,0,0,0,0,5,0,0,3,142,0,24,93,21,0,0,6601
Scenic Rim (R),0,0,10833,44,0,0,0,55,165,9,0,0,0,0,0,0,0,0,0,0,9,19,0,16,11,0,0,0,0,0,0,0,14,16490,1957,58,0,0,0,2666,0,23,342,0,65,1986,32,24,0,0,0,4,54,31,7,13,20,0,0,0,0,0,303,33,14,39,0,0,14,0,6,0,36,53,8,0,0,18,0,18,9,4,0,0,0,0,16,3,37,13,3,103,42,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,97,18,0,0,6,0,0,0,0,0,0,0,0,3,0,0,128,8,0,0,51,89,7,0,0,0,0,0,0,0,0,66,0,4,4,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0,0,0,0,0,7,0,0,6,6,4,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,4,0,0,0,0,0,55,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,110,0,0,7,17,0,0,3426
Somerset (R),5,0,7280,10,5,0,0,39,78,0,0,0,6,0,0,0,0,0,0,4,0,0,0,19,4,0,0,0,0,0,0,0,3,9558,1165,37,0,0,0,1284,0,17,175,0,37,1372,12,11,0,0,0,0,41,19,0,5,13,0,0,0,0,0,154,30,0,18,0,0,11,0,0,4,15,22,3,0,0,0,0,5,6,0,0,0,7,0,3,0,18,4,4,32,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,24,71,0,0,0,0,0,0,319,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,130,4,0,0,9,40,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,12,14,0,0,2173
South Burnett (R),0,0,9683,69,3,0,0,63,69,3,0,0,6,8,0,0,0,0,0,0,3,3,0,10,14,0,0,0,0,0,0,0,5,13114,1457,22,0,0,0,1825,0,15,196,0,43,1679,13,14,0,0,0,5,35,16,0,4,7,0,0,0,0,0,198,19,0,21,0,0,10,0,0,0,8,18,9,0,0,5,0,4,0,0,0,0,6,0,3,0,27,9,3,31,12,0,11,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,19,0,0,0,0,0,0,257,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,4,0,0,7,6,0,0,0,0,4,0,3,0,0,50,0,9,0,0,0,0,0,3,0,7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,22,12,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,4,9,0,0,2664
Southern Downs (R),3,0,10048,50,4,0,0,38,56,0,0,0,12,0,0,0,0,0,0,0,15,10,0,9,14,0,0,0,0,0,0,0,7,14387,1496,39,0,0,0,2704,0,17,227,0,41,932,29,8,0,0,0,6,41,28,5,5,16,0,0,0,0,0,1164,12,3,30,0,0,11,0,0,0,46,24,9,0,0,0,0,10,7,3,0,0,0,0,10,7,26,15,3,67,30,3,12,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,18,12,0,0,0,0,0,0,172,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,188,31,0,0,14,83,0,0,0,0,0,0,0,0,0,91,0,21,10,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,6,0,0,5,0,0,5,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,49,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,42,0,0,7,12,0,0,2423
Sunshine Coast (R),34,0,71571,166,56,16,0,670,1814,6,0,14,130,30,0,0,0,4,7,26,66,84,6,83,36,0,0,31,0,0,3,3,62,131631,15685,837,9,12,0,19900,4,278,2650,11,743,8470,306,77,4,4,0,48,485,285,7,134,308,0,9,0,6,0,3882,414,130,373,0,0,119,20,25,23,293,548,35,0,3,70,3,104,69,37,0,0,44,4,149,46,347,95,53,691,310,58,144,0,0,3,30,4,65,7,5,0,126,0,14,3,14,3,5,0,0,4,0,0,0,31,0,0,0,0,0,0,12,0,0,0,4,107,0,50,8,0,0,0,0,28,5,0,0,30,0,25,4,402,195,0,0,0,0,0,0,995,159,4,0,45,3,10,0,4,0,0,4,0,0,0,0,1739,87,0,0,296,410,0,13,0,0,32,18,8,3,3,1443,7,197,64,72,36,42,0,29,0,25,0,0,0,178,5,0,10,0,0,0,17,20,0,6,0,0,0,0,0,0,0,0,0,0,21,5,5,370,261,3,0,15,0,0,30,25,4,105,63,45,4,4,14,9,19,4,0,0,49,0,14,5,3,0,4,9,3,16,3,0,0,3,0,0,0,0,4,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,3,59,0,0,15,29,0,59,0,0,0,53,0,1099,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,491,19,64,97,125,4,6,18878
Tablelands (R),5,0,6916,86,3,12,0,28,50,0,0,0,49,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,3,9531,1119,42,0,0,0,1712,0,24,199,0,53,693,44,14,0,0,0,0,31,20,0,8,25,0,0,0,0,0,1011,32,16,12,0,0,12,7,5,9,28,30,0,0,0,3,0,0,3,0,0,0,0,0,11,4,18,9,7,58,12,0,9,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,3,15,0,0,16,6,0,0,0,0,0,0,106,10,0,0,3,0,0,0,0,0,0,0,0,4,0,0,117,4,0,0,30,13,0,0,0,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,3,3,0,0,2269
Toowoomba (R),12,0,44398,131,30,8,0,186,271,4,0,3,131,17,0,0,0,0,0,0,30,88,0,47,31,0,0,0,7,0,0,5,12,61970,7567,202,4,10,0,12105,0,36,868,3,161,7708,70,18,0,0,0,17,209,70,4,40,55,0,6,0,3,3,1278,60,80,133,0,0,42,0,9,8,83,130,10,3,6,24,0,28,6,20,0,0,7,4,34,11,98,25,4,203,70,4,57,0,0,22,298,0,36,157,8,47,121,62,5,4,14,5,0,0,0,0,0,0,0,10,21,0,0,66,0,289,334,0,0,7,0,98,37,21,0,0,0,0,0,11,0,0,0,9,3,10,8,96,119,34,0,0,0,0,0,1091,46,0,0,72,0,4,0,0,0,0,6,0,0,0,0,1437,57,0,0,69,214,7,4,0,0,24,0,30,0,3,1334,3,295,90,60,55,50,0,96,0,10,0,0,0,243,14,9,18,19,5,0,265,0,0,0,10,15,0,10,0,0,3,0,0,0,3,0,4,120,72,5,8,13,5,0,9,12,0,187,21,25,3,0,4,0,8,0,5,0,11,0,12,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,11,3,0,16,8,0,0,296,0,0,0,0,0,0,0,13,0,43,0,67,21,12,5,10,0,0,0,0,5,349,4,12,0,132,0,7,0,0,0,0,3,30,0,0,0,23,0,5,0,3,261,3,75,193,44,0,0,12006
Torres (S),3,0,883,379,6,912,0,8,10,0,0,0,52,0,0,0,0,0,0,3,6,4,0,3,0,0,0,0,0,0,0,0,4,378,66,0,0,0,0,104,0,3,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,565
Torres Strait Island (R),0,0,180,457,11,3178,0,9,17,0,0,10,153,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,56,20,4,0,0,0,15,0,0,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,355
