lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Coober Pedy (DC),48,794,11,26,0,17,542,14,314
Copper Coast (DC),63,7590,27,12,7,45,4926,32,1449
Elliston (DC),5,663,0,0,0,0,288,4,76
Flinders Ranges (DC),15,890,0,3,0,3,552,4,169
Franklin Harbour (DC),6,739,0,0,0,0,386,6,150
Gawler (T),174,11819,45,36,3,101,8762,118,1981
Goyder (DC),20,2514,5,0,0,15,1110,37,435
Grant (DC),19,4179,0,0,5,17,2829,20,1122
Holdfast Bay (C),316,18039,235,210,54,248,12953,173,3132
Kangaroo Island (DC),41,1924,4,13,3,16,2091,19,586
Karoonda East Murray (DC),0,708,0,0,0,3,277,6,90
Kimba (DC),0,599,5,0,0,6,349,0,95
Kingston (DC),10,1256,0,0,0,12,866,3,200
Light (RegC),91,7894,7,9,3,41,5498,55,1136
Lower Eyre Peninsula (DC),36,2821,0,4,0,3,1885,6,744
Loxton Waikerie (DC),57,6622,20,45,0,115,3616,40,966
Mallala (DC),84,4465,3,11,3,39,3348,34,811
Maralinga Tjarutja (AC),0,17,0,0,0,0,7,0,40
Marion (C),1459,41726,1820,2061,50,1043,33341,489,6632
Mid Murray (DC),64,4350,22,13,3,42,3030,47,1066
Mitcham (C),828,31459,623,888,72,365,25660,305,4601
Mount Barker (DC),294,15921,95,41,33,188,13768,198,2858
Mount Gambier (C),144,13195,65,58,5,106,10477,129,2097
Mount Remarkable (DC),26,1645,5,0,0,12,905,6,264
Murray Bridge (RC),229,10467,62,206,6,134,7534,87,2131
Naracoorte and Lucindale (DC),142,4693,0,321,0,16,2494,31,580
Northern Areas (DC),17,2786,7,3,0,10,1279,20,403
Norwood Payneham St Peters (C),633,17229,817,531,57,364,12638,190,2894
Onkaparinga (C),1419,74974,624,746,85,964,72952,1016,13985
Orroroo/Carrieton (DC),0,573,0,6,0,8,232,5,79
Peterborough (DC),9,886,0,4,0,12,589,9,172
Playford (C),1535,39448,723,1994,25,697,35882,561,8502
Port Adelaide Enfield (C),5510,53781,4413,5863,50,2281,38292,582,10461
Port Augusta (C),64,6318,46,51,0,132,5071,82,2038
Port Lincoln (C),83,7056,41,12,7,38,5363,58,1406
Port Pirie City and Dists (M),66,9921,29,52,0,55,5778,66,1393
Prospect (C),463,10083,787,514,18,320,6657,103,1581
Renmark Paringa (DC),100,4610,14,176,0,271,3302,48,954
Robe (DC),10,664,4,5,0,5,557,0,137
Roxby Downs (M),44,1850,22,18,0,7,1520,15,412
Salisbury (C),6395,64375,4131,6441,46,1901,43819,643,10235
Southern Mallee (DC),14,1169,0,11,0,3,597,20,212
Streaky Bay (DC),9,1194,0,7,0,5,659,8,195
Tatiara (DC),27,3509,25,117,0,12,2191,17,728
Tea Tree Gully (C),1012,51768,1114,1113,52,933,34639,429,6677
The Coorong (DC),11,2995,4,10,0,22,1784,30,528
Tumby Bay (DC),7,1514,0,0,0,6,872,13,200
Unley (C),603,17885,583,440,59,291,14674,168,3018
Victor Harbor (C),124,7803,20,9,4,67,5232,49,1350
Wakefield (DC),30,3909,7,16,0,27,2223,21,569
Walkerville (M),187,3867,144,110,3,89,2515,32,604
Wattle Range (DC),46,5908,7,4,0,28,4596,42,1044
West Torrens (C),1161,28837,1948,1605,50,1281,18246,284,4486
Whyalla (C),131,10694,136,63,0,87,8571,110,2030
Wudinna (DC),9,778,0,0,0,0,344,7,115
Yankalilla (DC),51,2204,13,0,0,29,2306,34,519
Yorke Peninsula (DC),60,6706,12,16,5,52,3234,26,946
Unincorporated SA,18,1558,3,5,0,65,1136,31,707
No usual address (SA),52,923,24,32,3,34,1080,35,686
Migratory - Offshore - Shipping (SA),0,4,0,0,0,0,0,0,0
Albany (C),270,17984,91,72,10,237,14081,207,3628
Armadale (C),1629,38621,2398,1568,42,1389,26659,436,6861
Ashburton (S),230,5502,110,103,8,147,4435,104,2385
Augusta-Margaret River (S),214,5299,29,55,15,66,6946,78,1560
Bassendean (T),332,7437,193,187,11,110,5424,102,1287
Bayswater (C),2408,31541,1633,1869,424,760,20011,315,5706
Belmont (C),1296,17608,962,2742,29,496,11274,220,5058
Beverley (S),12,969,0,3,0,8,502,9,240
Boddington (S),8,851,20,15,0,20,739,21,178
Boyup Brook (S),13,970,0,0,0,8,530,14,170
Bridgetown-Greenbushes (S),57,2283,0,0,4,29,1774,21,489
Brookton (S),3,559,0,0,0,12,263,0,130
Broome (S),246,7412,62,80,10,68,5884,78,2383
Broomehill-Tambellup (S),10,635,0,0,0,0,312,0,181
Bruce Rock (S),0,579,0,0,0,5,258,3,82
Bunbury (C),387,16705,197,203,22,178,10699,141,3377
Busselton (C),406,18521,94,158,14,160,13521,203,3622
Cambridge (T),371,14116,308,127,111,149,9309,87,2194
Canning (C),5276,40584,4147,5193,43,1905,25576,381,7075
Capel (S),132,9025,63,71,12,93,6245,76,1397
Carnamah (S),0,330,0,0,0,0,162,0,53
Carnarvon (S),148,2635,28,7,0,16,1750,27,912
Chapman Valley (S),7,789,0,13,0,0,412,0,196
Chittering (S),44,2877,4,15,8,13,1880,25,612
Claremont (T),113,5147,90,70,45,65,3434,34,1056
Cockburn (C),1875,55463,1432,1158,75,806,34117,504,9045
Collie (S),50,4631,13,11,0,43,3138,28,890
Coolgardie (S),35,1622,6,13,0,14,1336,13,556
Coorow (S),10,567,0,0,0,0,349,3,105
Corrigin (S),4,659,5,0,0,6,329,9,142
Cottesloe (T),69,3919,31,13,20,13,2784,36,715
Cranbrook (S),12,596,0,0,0,8,331,8,142
Cuballing (S),6,434,5,0,0,3,269,0,147
Cue (S),0,73,0,0,0,0,57,0,54
Cunderdin (S),5,866,0,6,0,4,426,4,147
Dalwallinu (S),12,837,0,0,0,3,397,11,161
Dandaragan (S),36,1650,3,5,0,8,1172,9,331
Dardanup (S),108,7524,39,86,0,63,4943,67,1199
Denmark (S),88,2046,11,0,9,54,2838,22,774
Derby-West Kimberley (S),34,4365,20,11,0,219,1772,12,1292
Donnybrook-Balingup (S),58,2976,9,22,13,45,2032,19,690
Dowerin (S),0,392,0,0,0,4,234,0,62
Dumbleyung (S),0,345,0,0,0,0,230,0,92
Dundas (S),9,324,4,6,0,6,261,3,151
East Fremantle (T),75,3621,22,13,14,48,2855,21,700
East Pilbara (S),132,4340,72,57,10,160,3490,71,2262
Esperance (S),81,7347,14,6,5,50,4777,63,1894
Exmouth (S),18,1139,8,0,4,3,1249,20,300
Fremantle (C),461,11831,123,145,82,155,12554,194,3335
Gingin (S),67,2771,3,13,0,16,1739,3,599
Gnowangerup (S),6,696,0,3,0,3,355,0,152
Goomalling (S),0,637,0,0,5,3,285,4,102
Gosnells (C),4520,54575,4410,9083,31,2247,32785,596,9832
Greater Geraldton (C),356,21458,160,538,17,149,11652,202,4116
Halls Creek (S),16,1963,7,3,0,35,470,6,768
Harvey (S),161,14506,60,90,13,89,8940,122,2558
Irwin (S),34,2029,0,4,0,3,1182,16,309
Jerramungup (S),3,478,0,0,0,0,434,0,186
Joondalup (C),1788,86516,1146,1298,180,806,51563,636,10504
Kalamunda (S),715,30550,734,950,41,315,19087,296,4772
Kalgoorlie/Boulder (C),283,14935,319,209,9,150,10205,182,3765
Karratha (C),346,9584,250,160,7,117,7609,136,3269
Katanning (S),73,1936,26,409,0,8,1066,10,627
Kellerberrin (S),3,698,0,0,0,3,355,0,156
Kent (S),0,278,0,0,0,5,175,0,96
Kojonup (S),3,1144,0,0,0,4,569,5,250
Kondinin (S),5,499,0,7,3,4,249,0,108
Koorda (S),0,242,0,0,0,0,134,0,35
Kulin (S),3,461,0,0,0,6,222,6,76
Kwinana (C),519,17961,976,500,16,681,13311,208,4738
Lake Grace (S),0,740,3,0,0,0,360,3,152
Laverton (S),14,535,4,6,0,9,314,22,240
Leonora (S),22,520,4,0,0,18,490,8,352
