lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Albury (C),107,57,100,373,362,746,515,730,544,780,537,517,249,328,154,208,27,115,17,4,3,0,8,199,16783
Armidale Regional (A),189,51,60,168,124,282,226,412,231,417,220,376,189,263,136,124,71,109,21,0,0,0,14,107,8956
Ballina (A),131,24,31,299,93,137,84,209,124,276,239,430,255,418,268,381,150,616,218,71,24,9,13,144,14510
Balranald (A),41,19,7,16,25,40,28,32,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,961
Bathurst Regional (A),120,61,46,219,108,234,203,367,213,516,399,544,271,378,201,225,81,92,7,4,0,3,3,144,12971
Bega Valley (A),188,33,41,191,83,171,179,339,195,337,226,340,152,232,108,76,27,44,7,4,9,0,13,115,14468
Bellingen (A),71,20,10,74,29,64,47,82,52,134,92,142,71,116,73,54,20,45,11,5,0,0,4,37,4829
Berrigan (A),76,20,45,85,48,98,105,109,48,59,27,28,5,10,0,3,0,0,0,0,4,0,3,39,3508
Blacktown (C),504,390,342,1746,618,1091,701,1016,545,942,775,2215,1536,2994,2420,3955,1651,4980,2153,816,136,34,47,1140,78163
Bland (A),103,37,16,43,22,77,24,43,41,33,8,11,5,6,0,0,0,4,0,0,3,0,0,29,2428
Blayney (A),64,10,8,30,22,44,37,92,43,86,32,47,23,17,12,7,4,8,0,3,0,0,0,25,2577
Blue Mountains (C),188,34,28,81,59,215,141,220,141,341,210,500,277,588,401,549,225,695,203,44,12,3,14,173,28955
Bogan (A),32,24,16,31,17,33,29,47,13,24,0,16,0,0,0,0,0,0,0,0,4,0,0,25,996
Botany Bay (C),135,88,74,546,125,174,93,142,54,98,64,136,113,245,229,550,333,1075,1013,1053,325,157,153,276,11468
Bourke (A),44,69,14,32,15,39,37,35,11,17,5,13,0,0,0,0,0,5,0,3,0,0,6,25,998
Brewarrina (A),44,41,116,38,29,29,16,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,396
Broken Hill (C),105,73,74,100,99,243,206,265,106,148,61,96,18,38,4,18,4,5,4,0,3,6,9,72,7891
Burwood (A),148,26,23,169,34,81,49,85,56,92,51,123,69,153,100,263,168,1349,856,580,202,87,76,219,8486
Byron (A),182,15,15,51,30,147,82,160,73,150,105,208,81,198,134,279,133,606,417,212,93,61,90,129,12003
Cabonne (A),132,48,19,58,32,85,76,103,50,81,41,49,11,19,3,11,0,10,3,0,0,0,4,61,4821
Camden (A),103,25,19,121,41,65,30,81,60,105,46,157,82,213,195,498,277,1817,778,115,31,3,10,163,21154
Campbelltown (C) (NSW),238,209,185,1078,434,703,460,687,321,563,520,1209,976,2119,1386,1966,636,1811,398,62,25,21,16,540,38772
Canada Bay (A),280,60,49,337,80,159,68,133,75,114,65,186,79,165,114,348,197,2676,2686,2141,829,378,481,362,24724
Canterbury-Bankstown (A),985,490,461,2583,680,1437,743,1297,570,876,637,2135,1650,3724,2224,3910,1443,7048,3251,1281,330,134,126,1503,81925
Carrathool (A),101,30,9,44,10,36,22,34,8,24,3,5,0,0,0,0,0,0,0,0,0,0,3,40,978
Central Coast (C) (NSW),779,242,233,1357,439,1090,777,1419,804,1643,1397,3206,2138,3852,2413,2919,1251,4067,1106,353,148,60,96,927,111887
Central Darling (A),43,55,22,57,21,17,9,10,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,21,791
Cessnock (C),167,54,43,253,94,231,207,339,237,702,633,816,345,460,353,194,24,79,32,13,4,0,10,177,17271
Clarence Valley (A),262,62,72,228,155,321,261,501,319,658,432,660,272,335,108,134,27,131,41,30,12,7,16,179,19706
Cobar (A),55,50,37,54,37,122,53,63,19,54,18,36,9,12,3,4,0,0,0,0,3,0,0,36,1804
Coffs Harbour (C),206,67,50,468,165,310,260,515,408,669,582,799,522,864,627,581,242,692,133,41,13,6,26,289,23973
Coolamon (A),46,18,15,22,7,36,12,31,13,26,8,14,0,0,5,6,0,0,0,0,0,0,0,6,1538
Coonamble (A),73,38,9,37,27,59,52,52,19,32,6,4,0,0,0,0,0,0,0,0,0,0,0,29,1596
Cowra (A),85,30,26,110,91,187,159,188,116,119,33,35,16,8,5,3,0,4,6,3,0,3,5,54,4701
Cumberland (A),551,293,301,1349,370,800,460,715,339,584,354,1032,766,2135,1689,3371,1610,5699,1865,569,183,49,80,977,46032
Dungog (A),65,9,9,31,15,36,28,51,38,73,38,51,36,26,21,11,0,8,4,0,0,0,0,27,3450
Edward River (A),71,19,21,83,94,128,101,129,52,78,38,54,14,17,7,3,0,6,0,5,0,0,5,64,3307
Eurobodalla (A),167,38,36,190,81,281,185,360,247,442,265,447,204,299,122,139,39,71,9,8,9,3,12,142,19646
Fairfield (C),515,209,187,1085,313,868,418,862,438,888,788,1958,893,1637,957,2065,929,3416,680,165,52,20,27,718,42677
Federation (A),103,25,32,56,64,128,107,145,111,121,69,69,18,18,0,3,0,3,0,5,0,0,3,36,5260
Forbes (A),85,29,30,95,69,125,97,160,70,74,22,29,9,9,3,3,0,4,0,0,0,0,3,56,3392
Georges River (A),448,84,88,475,118,238,150,297,152,245,160,430,260,760,808,1575,848,4320,2329,783,286,85,129,512,38421
Gilgandra (A),59,7,3,49,37,85,51,67,12,31,3,3,0,0,0,0,0,0,0,0,3,0,0,25,1531
Glen Innes Severn (A),71,13,14,60,85,111,82,133,114,84,31,45,6,13,3,0,0,3,5,0,0,0,4,45,3452
Goulburn Mulwaree (A),112,59,47,216,102,251,171,263,137,358,239,400,168,207,91,129,34,67,8,0,0,0,4,123,10464
Greater Hume Shire (A),107,13,19,58,33,78,70,95,42,45,27,23,10,9,0,0,0,0,0,0,0,0,4,36,3891
Griffith (C),125,45,42,116,121,307,294,319,184,372,155,226,96,143,61,46,9,24,4,4,3,0,8,103,7500
Gundagai (A),114,47,26,110,73,107,91,146,93,98,39,45,5,10,0,9,0,0,0,0,0,0,0,47,4307
Gunnedah (A),103,30,20,51,51,112,81,172,100,131,94,133,51,101,39,53,22,55,5,3,4,0,8,67,4034
Gwydir (A),159,27,10,57,34,50,32,58,15,29,8,3,4,0,0,0,0,0,0,0,0,0,0,32,2077
Hawkesbury (C),208,45,28,96,36,215,127,219,149,286,173,374,216,470,381,625,248,776,198,81,36,21,21,171,18890
Hay (A),45,20,12,39,52,57,30,39,8,13,0,6,0,5,0,0,0,4,0,0,0,0,0,17,1233
Hilltops (A),196,54,15,95,88,187,160,281,180,222,108,92,32,42,8,3,4,9,6,0,0,0,4,83,7067
Hornsby (A),313,55,70,268,106,133,113,187,112,131,121,251,113,271,194,571,458,2677,1753,957,465,226,167,363,41434
Hunters Hill (A),39,17,17,127,30,43,18,18,11,21,6,23,18,29,23,50,13,148,135,104,61,52,132,41,4092
Inner West (A),556,144,169,856,207,432,341,576,436,655,507,982,687,1433,1094,2168,1268,5797,3923,2868,1859,1159,1511,737,50251
Inverell (A),157,71,31,109,82,177,137,231,128,240,168,166,33,45,14,18,4,6,0,0,0,0,0,77,5392
Junee (A),48,12,18,32,29,37,41,68,28,65,21,30,17,10,3,0,0,0,0,0,0,0,0,25,1850
Kempsey (A),134,35,28,131,81,241,197,346,204,398,251,296,105,163,51,39,13,37,10,4,6,3,6,92,10774
Kiama (A),75,11,15,26,10,46,22,49,28,63,41,101,56,98,96,154,80,322,105,56,11,6,11,61,8433
Ku-ring-gai (A),296,21,31,31,33,50,18,50,38,43,23,92,36,73,44,130,77,990,1169,947,605,471,1321,219,35697
Kyogle (A),94,23,11,51,32,93,64,105,54,118,40,59,11,17,0,9,0,4,0,0,0,0,5,29,3712
Lachlan (A),81,68,28,68,45,135,58,62,29,48,4,13,3,5,0,4,0,0,0,0,0,0,0,39,2227
Lake Macquarie (C),425,164,160,1070,375,848,518,927,478,848,722,1728,1192,1867,1135,1216,551,1640,383,85,33,4,31,521,65658
Lane Cove (A),101,31,38,104,19,29,22,41,13,39,23,72,64,106,75,243,191,1419,859,419,275,173,314,108,10787
Leeton (A),79,24,18,108,54,147,136,156,94,120,31,88,12,20,0,0,0,0,3,0,0,0,3,32,3635
Lismore (C),170,55,51,229,142,286,278,418,311,499,384,606,302,362,139,139,47,121,23,8,6,3,3,148,14374
Lithgow (C),84,51,16,167,71,145,160,218,153,268,146,179,56,85,18,28,5,17,3,0,0,0,3,80,7763
Liverpool (C),442,275,214,1152,309,655,369,557,435,757,609,1370,760,1293,879,1675,869,3923,1274,296,75,16,47,707,46954
Liverpool Plains (A),107,22,19,65,63,87,93,107,55,95,37,38,7,6,0,5,0,0,0,0,0,5,3,62,2851
Lockhart (A),40,14,11,14,9,34,20,24,11,10,5,5,4,3,0,0,0,0,0,0,0,0,0,9,1219
Maitland (C),125,86,75,407,147,371,288,381,272,548,456,1035,656,945,723,803,182,330,56,11,4,0,9,216,22516
Mid-Coast (A),406,77,80,404,271,674,564,923,624,1058,776,1043,487,648,306,285,86,206,22,16,9,7,32,311,38227
Mid-Western Regional (A),193,35,17,69,46,177,109,234,113,237,178,315,123,201,78,129,28,79,15,5,6,0,9,95,9039
Moree Plains (A),235,85,70,176,88,280,177,173,65,124,61,85,20,47,19,25,6,45,6,0,0,0,8,130,4271
Mosman (A),96,14,5,27,7,24,14,30,12,21,12,36,24,90,115,220,151,779,621,353,251,174,636,103,9418
Murray River (A),138,55,30,65,64,74,61,95,59,81,44,61,42,42,17,28,15,28,3,0,4,0,7,42,4856
Murrumbidgee (A),100,15,17,42,45,98,43,47,11,22,5,7,0,3,0,0,0,0,4,0,0,0,0,26,1424
Muswellbrook (A),104,23,29,60,68,245,140,232,166,365,245,296,68,87,15,24,3,21,3,0,0,0,3,84,5007
Nambucca (A),86,30,19,172,86,171,113,209,109,231,147,231,87,131,46,61,17,45,14,4,9,3,8,85,7410
Narrabri (A),174,60,34,108,89,171,90,146,43,124,44,121,31,99,34,54,12,25,4,0,0,0,3,88,4467
Narrandera (A),48,25,17,48,45,90,85,72,32,48,5,11,6,5,0,0,0,0,0,0,0,0,4,31,2234
Narromine (A),79,20,28,65,33,73,40,77,58,63,36,38,0,15,0,5,0,0,0,3,0,0,0,21,2225
Newcastle (C),371,326,260,1543,397,796,521,952,597,1027,846,1812,1296,2327,1552,1765,710,2546,710,266,134,57,95,618,47487
North Sydney (A),288,55,35,259,45,93,40,96,68,87,67,168,151,329,363,773,483,3175,3140,2083,1243,780,1383,368,21262
Northern Beaches (A),605,115,153,523,185,210,145,239,155,223,137,354,179,464,417,872,583,4630,3726,2617,1920,1323,2612,651,78586
Oberon (A),43,13,15,24,22,32,13,57,29,73,20,34,15,11,4,3,0,3,0,0,0,0,0,21,2164
Orange (C),98,60,59,259,115,277,249,458,301,562,382,580,268,420,229,221,84,127,27,5,7,0,5,166,12479
Parkes (A),90,40,42,161,96,194,102,198,100,162,79,129,39,37,15,4,0,3,3,0,0,0,3,71,5204
Parramatta (C),569,278,245,1224,328,619,349,562,366,580,344,874,595,1588,1601,3423,2121,8965,4106,1248,507,217,169,904,53950
Penrith (C),339,148,129,713,221,473,291,526,353,861,852,1415,935,2482,1800,2474,908,2782,764,169,61,23,28,584,51776
Port Macquarie-Hastings (A),245,80,74,430,129,296,270,481,349,647,523,807,488,816,575,623,304,719,195,44,18,8,18,240,28323
Port Stephens (A),154,47,51,307,119,204,184,367,326,705,435,768,432,711,362,545,150,543,128,45,12,10,20,187,26336
Queanbeyan-Palerang Regional (A),168,37,39,178,84,266,279,491,322,496,243,536,290,467,253,416,193,545,228,79,31,9,14,161,18208
Randwick (C),471,242,201,1213,283,420,271,407,213,326,180,382,240,451,387,913,470,4465,4827,2941,1536,893,1561,723,34691
Richmond Valley (A),103,39,20,105,78,226,177,273,179,404,257,305,80,110,24,35,6,33,8,7,4,0,5,91,7751
Rockdale (C),367,67,44,317,92,155,100,204,113,206,144,370,232,631,598,1423,810,3669,2607,937,293,104,158,446,29246
Ryde (C),361,98,93,494,149,290,166,272,168,252,150,400,343,865,766,1357,865,3799,2263,1291,488,227,260,520,30304
Shellharbour (C),133,59,54,439,150,302,182,308,187,302,213,504,299,592,447,592,228,818,274,41,7,0,7,180,20120
Shoalhaven (C),356,87,111,395,189,547,446,707,475,1133,856,1221,667,789,412,465,139,274,55,36,17,3,30,331,44785
Singleton (A),94,32,32,116,45,123,101,150,108,221,138,331,107,207,103,109,22,103,14,9,0,0,4,87,7108
Snowy Monaro Regional (A),192,37,42,101,77,189,109,231,122,238,111,117,40,78,35,80,15,41,33,34,20,37,191,103,9807
Snowy Valleys (A),101,59,38,109,78,186,162,181,84,105,66,75,21,21,10,8,4,0,3,0,0,4,8,57,5591
Strathfield (A),134,39,32,184,64,85,49,123,50,67,33,112,51,177,175,393,306,1642,868,311,169,83,85,194,9046
Sutherland Shire (A),414,113,107,639,159,294,148,315,172,341,206,487,323,719,689,1646,945,3522,2105,1253,555,246,320,521,68286
Sydney (C),890,579,463,2715,533,799,496,833,473,651,808,1550,854,1383,1006,1775,1050,7438,8895,7595,4912,2674,4576,1736,55346
Tamworth Regional (A),313,87,88,298,179,444,392,569,433,696,514,838,442,483,250,232,51,190,26,4,5,3,15,270,19304
Temora (A),61,30,15,53,47,58,60,67,48,50,12,20,0,3,3,0,0,0,4,0,0,0,3,20,2277
Tenterfield (A),82,13,20,49,54,69,73,101,53,51,15,22,0,3,0,0,0,0,0,0,0,0,3,24,3071
The Hills Shire (A),261,20,10,50,35,68,35,75,48,116,44,139,65,128,82,263,148,1872,2267,1294,515,261,246,238,43559
Tweed (A),300,51,55,422,127,370,235,463,284,549,467,971,617,1019,703,688,271,1157,336,144,60,23,33,341,33118
Upper Hunter Shire (A),197,22,21,79,35,139,64,166,108,204,82,135,36,47,16,30,8,26,8,0,4,0,8,83,5027
Upper Lachlan Shire (A),118,14,15,30,21,35,16,62,27,57,27,43,7,9,0,5,0,6,0,3,0,0,0,24,3793
Uralla (A),72,20,8,32,16,56,45,42,27,48,31,20,10,8,5,6,0,6,4,0,0,0,0,25,2254
Wagga Wagga (C),170,100,105,397,191,509,529,573,469,831,690,952,427,507,286,245,93,242,40,15,9,0,13,222,18559
Walcha (A),72,8,8,34,22,31,27,41,9,16,5,4,0,0,0,0,0,0,0,0,0,0,0,29,1300
Walgett (A),152,138,33,79,58,124,114,114,32,21,10,7,0,4,0,3,0,0,0,4,0,0,4,70,2765
Warren (A),55,9,12,39,34,40,26,30,9,13,0,4,0,0,0,0,0,0,0,0,0,0,0,18,1022
Warrumbungle Shire (A),125,39,29,90,75,138,125,134,33,46,5,14,0,7,0,5,0,5,4,3,0,0,4,53,3870
Waverley (A),258,35,29,225,38,85,54,87,54,78,81,198,98,251,228,403,223,1685,2133,1854,1251,790,1657,345,19419
Weddin (A),51,30,8,47,21,30,22,46,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1580
Wentworth (A),62,50,15,46,58,84,81,68,22,34,11,9,9,15,3,5,0,0,0,3,0,0,4,26,2667
Western Plains Regional (A),163,102,76,321,210,382,362,529,343,558,383,633,252,380,176,190,44,113,18,5,4,7,15,202,15727
Willoughby (C),287,36,26,161,43,87,45,90,34,68,51,117,61,106,103,290,180,1990,2229,1182,825,519,1045,322,20122
Wingecarribee (A),202,22,17,57,32,172,89,206,91,194,136,279,182,294,202,286,122,478,206,64,39,9,40,147,18124
Wollondilly (A),136,13,15,26,21,93,64,102,38,100,75,189,84,214,194,229,65,334,146,58,20,4,11,93,14471
Wollongong (C),467,329,280,1948,561,956,731,1122,650,1282,848,1802,1140,1934,1120,1658,697,2679,1006,369,131,63,67,711,61486
Woollahra (A),278,15,9,47,17,30,17,61,28,50,47,145,123,193,141,208,118,905,1260,1081,725,522,1751,231,18279
Yass Valley (A),108,16,20,21,16,37,33,48,30,73,66,126,46,105,27,49,20,71,32,7,4,0,4,50,5501
Unincorporated NSW,26,12,0,8,5,3,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,18,511
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Alpine (S),95,17,28,66,51,112,108,149,91,113,59,60,24,29,21,17,0,16,7,9,3,5,77,54,6021
Ararat (RC),96,34,25,102,63,121,103,138,77,92,39,43,14,3,10,11,0,17,0,3,5,0,6,84,4333
Ballarat (C),239,125,142,718,492,766,663,1244,1249,2049,1156,1175,516,538,196,237,69,171,37,30,6,11,21,351,33029
Banyule (C),284,103,108,534,187,227,172,301,258,415,541,1206,1030,1441,818,868,382,1264,321,127,58,18,100,372,39094
Bass Coast (S),184,32,27,184,63,155,182,426,362,572,286,312,131,155,67,64,11,31,10,0,4,3,19,132,22386
Baw Baw (S),217,37,35,171,102,215,159,355,302,551,311,476,219,194,84,55,8,36,14,5,6,3,9,119,17215
Bayside (C),270,85,52,378,112,135,82,135,113,140,175,334,235,439,370,489,256,1323,790,494,436,301,777,265,32895
Benalla (RC),62,24,27,124,66,155,164,210,131,145,82,58,17,29,3,7,0,0,0,3,0,0,0,63,5442
Boroondara (C),602,77,69,273,113,193,220,426,301,458,469,971,887,1783,1386,1601,785,3052,1531,947,590,388,803,552,50946
Brimbank (C),528,119,88,401,224,461,388,848,664,1280,1651,3308,1788,1718,654,572,143,351,79,45,37,13,119,679,53122
Buloke (S),78,50,16,70,43,65,38,27,11,3,5,3,0,3,0,0,0,0,4,0,5,0,0,24,2766
Campaspe (S),228,69,69,309,194,325,262,437,261,340,183,177,87,105,46,33,12,38,8,5,0,4,12,138,13550
Cardinia (S),199,53,29,150,54,96,91,221,160,610,727,1369,980,990,433,315,89,206,57,24,10,4,25,239,27972
Casey (C),420,109,86,452,229,364,220,450,414,947,1263,3172,2393,3165,1751,1749,470,910,189,70,53,20,118,715,82326
Central Goldfields (S),63,41,21,119,66,133,151,199,148,134,43,22,7,6,0,0,0,6,0,0,0,0,6,44,5423
Colac-Otway (S),130,45,32,132,84,142,153,268,141,224,133,137,38,56,14,13,8,7,0,5,0,0,6,106,9868
Corangamite (S),228,35,32,135,69,160,100,192,100,102,35,25,7,17,4,3,0,9,3,0,4,0,9,90,6390
Darebin (C),483,200,164,895,313,421,415,762,620,1319,1398,2469,1569,2141,1186,1386,597,2356,1017,413,177,62,178,680,42349
East Gippsland (S),254,80,95,310,152,328,304,498,341,487,281,332,125,160,53,55,7,10,13,3,0,0,15,156,20159
Frankston (C),243,104,95,483,241,338,355,726,679,1346,1354,2361,1466,1492,755,673,275,560,171,72,27,9,75,482,42550
Gannawarra (S),111,41,43,83,101,178,108,97,27,32,4,17,0,5,0,0,0,4,0,0,0,0,3,46,4400
Glen Eira (C),503,72,70,231,133,250,205,389,622,1075,827,1215,900,1426,1146,1470,745,2932,1396,792,428,207,316,502,41972
Glenelg (S),132,41,43,180,117,248,176,238,151,154,62,102,15,24,3,6,0,12,7,0,0,0,5,76,8165
Golden Plains (S),86,12,5,27,16,27,23,55,26,56,40,74,27,57,40,20,4,11,0,0,0,0,0,27,7713
Greater Bendigo (C),307,122,114,658,352,673,680,1171,1036,1857,1112,1515,571,579,177,215,54,122,38,14,9,6,14,326,37367
Greater Dandenong (C),406,143,133,623,261,504,422,853,1033,1575,1697,2623,1903,1794,776,578,175,516,144,58,34,17,138,676,37690
Greater Geelong (C),643,227,237,1122,604,1013,1024,1730,1444,2715,2366,2996,1569,2019,1186,1020,368,844,224,73,44,23,66,801,81770
Greater Shepparton (C),231,87,114,434,286,571,581,1018,540,751,462,485,256,241,80,88,21,49,16,7,3,8,16,244,20387
Hepburn (S),102,12,20,77,31,67,43,121,68,110,70,111,49,62,14,20,7,21,0,0,0,0,19,39,7634
Hindmarsh (S),52,30,18,41,78,78,41,31,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,16,2630
