lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Copper Coast (DC),71,23,77,98,53,132,122,184,161,296,97,136,34,34,10,9,0,7,3,0,4,0,3,62,7075
Elliston (DC),25,3,6,13,6,9,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,720
Flinders Ranges (DC),19,19,9,15,15,21,17,23,7,15,5,4,0,0,0,0,0,0,0,0,0,0,3,12,792
Franklin Harbour (DC),12,4,6,16,3,13,13,20,9,22,0,0,0,0,0,0,0,3,4,0,0,0,4,8,729
Gawler (T),40,32,113,146,61,98,99,189,270,416,325,387,164,133,34,32,8,33,9,3,3,0,5,86,7610
Goyder (DC),55,12,26,54,17,31,31,49,17,24,8,4,0,5,0,0,0,0,0,0,0,0,0,18,1856
Grant (DC),72,15,13,40,25,49,36,44,20,23,7,16,5,6,4,5,0,0,0,0,0,0,0,15,3277
Holdfast Bay (C),118,30,87,138,74,127,98,201,251,489,422,541,284,370,189,270,117,387,160,79,38,19,26,143,13414
Kangaroo Island (DC),66,14,13,45,25,68,56,55,31,44,16,11,4,5,0,0,0,4,0,0,4,5,7,23,2693
Karoonda East Murray (DC),22,9,4,17,3,10,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,504
Kimba (DC),25,9,14,12,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,494
Kingston (DC),49,3,9,15,26,44,27,43,11,14,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1367
Light (RegC),50,9,12,34,17,38,43,75,63,81,36,76,32,49,21,39,7,25,4,0,0,0,4,35,4910
Lower Eyre Peninsula (DC),58,9,9,24,21,52,21,38,17,28,14,31,9,7,5,5,0,3,0,0,0,0,0,22,2422
Loxton Waikerie (DC),87,43,58,118,85,161,147,152,67,83,30,31,12,9,3,4,4,9,0,0,0,0,0,45,4462
Mallala (DC),48,11,12,16,15,16,15,54,19,52,18,42,14,14,10,13,0,7,5,0,0,0,0,19,3222
Maralinga Tjarutja (AC),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Marion (C),203,191,550,775,370,605,323,496,333,674,607,1113,792,1060,644,735,320,518,95,32,16,8,21,372,28933
Mid Murray (DC),68,20,19,63,45,107,70,104,48,64,21,22,0,4,0,0,0,0,3,0,0,0,3,37,6064
Mitcham (C),169,30,102,123,93,153,101,199,261,458,354,437,255,340,255,272,106,313,140,58,19,17,23,137,22259
Mount Barker (DC),93,40,65,121,48,99,61,106,92,244,216,422,260,297,179,207,74,103,27,9,3,0,3,86,10694
Mount Gambier (C),49,60,187,330,336,466,348,508,339,377,153,117,48,55,17,17,3,10,3,0,0,0,9,116,8755
Mount Remarkable (DC),35,14,4,22,6,42,10,25,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1493
Murray Bridge (RC),72,48,153,206,106,180,240,372,382,516,145,113,15,24,4,10,0,12,7,3,0,0,4,116,6950
Naracoorte and Lucindale (DC),73,32,34,68,77,85,87,106,84,86,28,41,6,7,0,0,0,0,0,0,0,0,0,54,2962
Northern Areas (DC),52,22,35,39,23,49,37,52,20,24,8,5,0,3,0,3,0,0,0,0,0,0,0,16,1965
Norwood Payneham St Peters (C),140,85,220,286,116,165,120,207,242,552,473,585,283,372,240,327,133,457,188,90,36,15,34,158,11997
Onkaparinga (C),264,198,615,713,334,567,489,679,625,1670,1930,2612,1349,1305,541,454,127,213,66,26,11,8,23,452,56477
Orroroo/Carrieton (DC),10,3,0,11,3,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,447
Peterborough (DC),14,14,11,17,31,45,8,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,916
Playford (C),137,254,557,763,405,648,691,1304,1281,2138,1466,1191,378,286,85,72,22,64,23,8,5,0,18,398,24109
Port Adelaide Enfield (C),340,329,992,1322,579,946,663,996,882,1560,1273,1845,1099,1467,877,703,185,401,103,38,25,10,26,635,36353
Port Augusta (C),53,50,115,199,139,280,211,227,110,155,67,86,36,32,10,14,4,7,0,3,5,0,3,123,4865
Port Lincoln (C),51,46,135,153,75,149,160,195,110,192,145,199,78,71,27,24,17,27,9,0,0,0,0,73,4841
Port Pirie City and Dists (M),72,52,166,215,173,376,286,224,138,167,65,46,31,16,14,4,3,5,0,0,0,0,0,91,6294
Prospect (C),61,22,72,92,55,90,56,96,139,323,244,282,138,193,142,164,54,177,45,8,9,3,3,56,6405
Renmark Paringa (DC),51,40,67,107,74,177,170,130,54,69,30,30,18,17,0,3,0,3,0,5,4,5,10,43,3415
Robe (DC),21,8,3,7,3,13,15,22,14,25,10,6,0,0,0,0,0,0,0,5,0,0,0,7,1356
Roxby Downs (M),35,4,7,53,94,89,136,132,42,81,44,42,7,25,9,18,0,5,6,3,0,3,0,25,910
Salisbury (C),259,210,609,724,358,597,575,975,771,1687,1708,2489,1020,926,366,234,85,235,62,20,12,5,16,525,40777
Southern Mallee (DC),43,16,3,29,11,34,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,920
Streaky Bay (DC),37,13,10,18,9,23,13,25,14,11,12,6,0,4,0,0,0,0,0,0,0,0,0,4,1125
Tatiara (DC),93,25,19,60,49,91,49,91,29,31,5,9,0,0,0,0,0,3,0,0,0,0,0,34,2462
Tea Tree Gully (C),171,81,257,340,137,231,147,269,203,563,601,1205,777,778,368,200,63,146,17,8,6,5,13,205,33294
The Coorong (DC),114,44,34,66,42,68,37,75,24,15,0,3,0,0,0,0,0,0,0,0,0,0,0,32,2465
Tumby Bay (DC),45,9,9,29,3,39,27,21,11,25,9,15,0,6,0,0,0,4,5,0,0,0,0,9,1301
Unley (C),120,49,99,163,72,142,120,193,209,395,337,501,309,337,233,254,133,481,178,90,53,18,26,110,12526
Victor Harbor (C),54,12,25,55,52,78,65,136,170,236,217,164,97,64,9,14,0,10,4,0,0,0,3,51,7680
Wakefield (DC),90,21,22,45,33,60,65,101,58,53,14,9,0,0,3,0,0,0,0,0,0,0,0,24,2603
Walkerville (M),31,30,39,71,25,27,14,34,16,33,31,60,45,78,38,67,24,93,36,19,11,5,15,31,2661
Wattle Range (DC),96,41,62,122,147,163,136,122,43,36,15,9,3,0,0,3,0,0,3,0,0,0,4,50,4786
West Torrens (C),197,158,265,404,202,360,295,525,547,959,671,831,468,671,411,455,196,505,102,30,20,13,9,256,18323
Whyalla (C),60,171,264,496,220,409,450,393,166,269,118,157,36,46,13,27,5,15,0,3,0,0,5,147,7842
Wudinna (DC),37,8,8,17,12,7,6,22,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,559
Yankalilla (DC),34,9,8,27,9,28,25,59,27,70,56,29,7,16,0,4,0,5,3,0,0,0,0,18,3443
Yorke Peninsula (DC),118,32,64,84,46,86,72,141,90,87,19,14,5,5,0,3,0,8,0,6,4,0,5,43,8795
Unincorporated SA,108,147,93,67,17,31,9,10,0,0,0,0,0,4,0,4,0,4,0,0,0,0,9,95,2553
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Albany (C),215,52,79,219,109,228,139,262,162,342,304,517,237,324,167,183,78,109,10,7,6,0,10,127,13035
Armadale (C),151,53,59,215,116,192,111,204,107,428,406,956,522,796,397,507,156,504,99,26,9,4,19,189,25644
Ashburton (S),187,1031,48,51,44,32,24,24,9,10,16,29,7,11,0,19,3,27,20,17,17,5,16,154,1779
Augusta-Margaret River (S),130,15,13,67,25,67,39,93,49,99,65,150,73,147,92,138,44,123,16,7,3,4,17,67,6247
Bassendean (T),50,26,29,113,38,66,48,57,23,61,43,173,98,212,111,193,47,183,30,9,3,3,7,52,5172
Bayswater (C),219,63,124,323,132,186,121,328,188,443,354,808,436,827,553,832,322,1245,286,56,20,9,14,235,21777
Belmont (C),126,73,105,407,143,180,117,170,108,189,211,543,288,694,382,695,274,971,169,42,8,16,12,182,12348
Beverley (S),24,4,0,9,11,4,4,12,3,14,0,3,0,0,0,0,0,0,0,0,0,0,0,3,819
Boddington (S),10,6,21,11,0,6,3,9,0,22,5,20,4,21,4,17,0,9,0,0,0,0,0,9,705
Boyup Brook (S),37,9,6,18,5,10,7,14,9,9,4,8,0,0,0,4,0,0,0,0,0,0,0,7,761
