lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,The former Yugoslav Republic of Macedonia,Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Myanmar,Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cabo Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Northern Peninsula Area (R),0,0,2633,0,0,23,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Palm Island (S),0,0,2363,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41
Paroo (S),0,0,1424,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Pormpuraaw (S),0,0,710,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Quilpie (S),0,0,724,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Redland (C),0,0,106591,17,0,7891,0,9,409,15,6,0,0,3,0,0,0,0,0,0,35,296,3,12,82,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9836,10,182,1254,278,8,9,428,0,99,44,163,736,0,6,0,636,100,0,110,0,261,0,10,21,82,0,0,0,0,5,0,295,101,50,0,62,69,4,53,16,156,25,19,90,4,45,18,4,52,0,31,12,51,6,97,24,16,195,71,14,37,0,0,0,61,4,5,10,5,0,0,19,9,5,3,69,25,16,8,0,35,5,4,13,10,33,26,0,0,0,43,25,6,198,153,0,3,168,234,805,131,13,0,0,469,131,0,4,157,0,131,0,105,0,0,7,0,675,0,37,38,187,0,28,0,3,0,4,8,0,0,0,0,0,8,308,0,493,4,26,0,50,48,71,3,0,0,6,3,23,0,10,17,0,0,4,0,50,0,0,15,3,0,0,0,0,0,3,21,0,3,0,0,3,0,0,4,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,4,0,0,0,10,0,5,0,0,9,11,3,6,0,0,0,7,39,3,0,3,39,0,7,13,0,0,0,8,0,2430,6,14,9,60,293,0,80,0,7204
Richmond (S),0,0,667,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Rockhampton (R),0,0,65958,0,0,1163,0,7,132,14,5,0,0,0,0,0,6,0,0,0,0,105,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1053,0,19,167,40,0,0,64,0,17,11,15,147,0,0,0,116,12,0,9,0,10,0,0,3,12,0,0,0,0,0,0,26,6,7,0,9,3,0,4,0,7,5,0,11,0,11,0,0,0,0,0,0,4,5,13,0,0,19,8,0,9,0,0,0,14,0,5,5,0,0,0,0,0,0,0,35,3,0,0,0,6,4,0,11,0,9,5,0,0,0,114,3,7,85,345,0,3,39,95,822,41,6,0,0,176,43,0,4,31,0,30,0,69,0,0,93,0,466,0,107,54,259,0,96,0,0,0,0,0,0,0,0,0,0,0,60,0,133,0,8,0,227,3,10,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,22,0,0,0,0,0,0,15,6,0,0,3,7,12,0,0,5,7,0,0,8,0,0,0,3,0,340,0,8,7,19,137,0,18,0,6272
Scenic Rim (R),0,0,30803,4,0,1414,0,0,80,0,7,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1867,0,29,175,47,0,3,49,0,24,19,34,228,0,0,0,186,23,0,20,0,19,0,7,3,15,0,0,0,0,0,0,26,17,10,0,7,12,0,8,0,13,4,7,9,0,23,6,0,10,0,8,4,6,5,11,0,3,40,11,3,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,8,5,0,3,10,0,0,9,0,6,0,0,0,0,0,0,0,34,11,0,0,33,50,110,18,0,0,0,39,14,0,0,9,0,47,0,91,0,0,0,0,77,0,4,5,15,0,0,0,0,0,4,0,0,0,0,0,0,5,77,0,134,0,4,0,6,3,7,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,24,0,0,0,7,0,0,3,0,0,0,0,0,160,0,0,0,10,53,0,30,0,3558
Somerset (R),0,0,19298,0,0,616,0,4,40,7,6,0,0,0,0,0,0,0,0,0,0,13,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,812,0,14,88,17,0,0,29,0,8,9,13,119,0,0,0,98,10,0,16,0,12,0,0,4,9,0,0,0,0,0,0,18,13,0,0,3,6,0,0,0,10,3,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,10,3,0,3,0,0,0,4,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,21,70,0,0,13,19,375,11,0,0,0,23,4,0,0,27,0,12,0,36,0,0,14,0,27,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,46,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,59,0,0,0,4,23,0,5,0,2325
South Burnett (R),0,0,26501,0,0,628,0,0,42,9,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,16,105,22,3,3,28,0,17,9,26,150,0,0,0,100,12,0,12,0,3,0,0,0,4,0,0,0,0,5,0,17,13,0,0,0,9,0,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,13,4,0,16,0,0,3,0,0,3,5,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,5,0,21,22,0,0,14,19,266,15,0,0,0,33,0,0,0,3,0,10,0,7,0,0,4,0,42,0,9,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,73,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,76,0,3,0,4,22,0,7,0,2719
Southern Downs (R),0,0,28898,0,0,590,0,3,40,0,3,0,0,0,0,0,0,0,0,0,10,35,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,921,0,27,85,16,0,0,39,0,19,9,20,128,0,0,0,143,27,0,14,0,13,0,0,0,3,0,0,0,0,0,0,240,11,0,0,15,21,0,0,0,35,5,4,3,0,3,8,0,17,0,6,0,11,7,11,3,0,23,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,25,17,0,0,12,27,202,7,0,0,0,56,6,0,0,70,0,10,0,84,0,0,0,0,63,0,13,8,10,0,3,0,0,0,0,0,0,0,0,0,0,0,42,0,90,0,5,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,0,0,3,0,0,0,0,0,107,0,7,0,7,27,0,4,0,2570
Sunshine Coast (R),0,0,218108,14,0,13341,0,31,680,70,38,0,4,3,0,0,11,0,0,0,37,298,7,10,48,0,20,23,0,5,0,0,0,0,0,0,0,0,0,0,0,117,17588,11,381,1783,574,7,36,722,0,262,103,368,1817,0,3,0,1277,283,0,223,0,176,0,6,77,234,0,0,0,0,11,0,522,173,42,0,123,112,5,34,22,151,28,22,98,0,60,66,0,38,0,43,8,85,20,175,34,15,271,108,39,60,0,0,9,113,15,14,9,4,0,0,0,0,14,0,97,15,46,10,4,43,3,7,32,3,32,64,3,0,0,52,33,4,505,188,5,8,312,404,1162,219,6,0,0,512,197,0,0,200,0,358,0,397,0,0,35,0,1298,0,189,83,230,0,17,0,5,0,21,0,0,0,12,0,0,8,1039,0,1426,6,85,4,202,82,77,7,0,0,9,5,33,5,37,36,0,3,0,3,23,4,4,45,0,3,6,0,0,6,5,15,9,4,0,3,0,0,0,23,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,15,0,0,0,0,0,0,44,0,0,6,0,9,4,6,0,0,0,0,17,149,4,0,9,102,0,3,26,0,0,0,68,0,2866,4,40,11,100,673,0,94,0,18698
Tablelands (R),0,0,19205,0,0,498,0,5,120,3,8,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,857,0,14,77,27,0,0,38,0,31,9,22,209,0,0,0,111,30,0,14,0,10,0,0,5,19,0,0,0,0,0,0,159,7,6,0,0,3,0,0,3,14,0,0,0,0,11,3,3,0,0,10,0,3,3,14,0,0,11,4,0,3,0,0,0,6,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,23,9,0,0,27,24,125,12,0,0,0,20,7,0,0,4,0,29,0,13,0,0,0,0,49,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,96,0,0,0,6,0,5,0,0,0,0,0,6,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,5,0,0,0,0,0,64,0,3,3,4,40,0,7,0,2505
Toowoomba (R),0,0,130233,5,0,2342,0,3,371,39,9,0,0,3,0,0,4,0,0,0,24,191,0,0,29,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3179,5,96,404,76,4,0,191,0,37,21,61,406,0,0,0,377,46,0,68,0,46,0,0,12,21,0,0,0,0,4,0,126,33,18,0,65,25,0,15,0,30,16,3,20,3,21,4,0,15,0,6,3,18,9,46,7,0,50,31,7,27,0,0,0,56,66,5,229,5,0,0,255,0,0,0,128,346,11,16,87,15,4,0,75,4,18,26,0,0,0,29,13,3,127,102,0,8,78,275,1155,155,0,0,0,572,95,5,0,174,0,94,0,211,0,3,119,0,1261,0,266,187,312,0,182,0,0,0,0,0,0,0,9,0,0,5,245,0,417,0,41,0,242,20,34,3,0,0,0,0,6,0,10,10,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,57,179,4,0,0,0,15,3,0,16,0,0,0,33,0,0,20,0,3,0,12,16,0,0,11,22,145,0,0,20,13,0,4,8,0,23,0,5,0,873,0,29,59,48,524,0,32,0,11739
Torres (S),0,0,2874,0,0,34,0,0,46,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,498
Torres Strait Island (R),0,0,4233,0,0,11,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Townsville (C),0,0,146741,4,0,4299,0,17,967,43,21,0,5,14,0,0,0,0,6,0,122,285,0,5,48,0,90,22,9,0,0,0,0,0,0,6,0,0,0,0,0,37,4877,0,114,666,145,9,5,313,0,79,34,158,715,0,5,0,371,82,0,97,0,69,0,4,58,98,0,0,0,0,0,0,442,55,27,0,72,39,5,17,11,42,38,8,111,5,31,15,0,23,0,19,4,29,8,43,15,7,90,67,11,32,0,0,4,58,11,11,50,0,0,0,22,0,3,9,83,69,23,3,10,14,12,0,51,0,16,25,0,0,0,112,36,27,338,256,0,9,180,387,1668,135,20,0,0,454,139,5,5,57,0,136,0,263,0,0,54,27,1328,3,129,85,267,0,37,0,0,0,0,0,0,0,0,0,0,0,435,0,593,0,29,4,66,36,33,5,0,0,4,0,27,0,10,25,0,0,0,4,70,0,0,17,0,0,0,0,0,0,3,10,4,10,0,0,3,0,0,9,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,121,0,0,0,0,26,3,0,24,6,0,0,63,0,0,6,0,4,0,15,0,0,4,34,33,208,3,4,12,35,0,10,10,0,34,0,42,115,1021,0,39,35,76,319,0,71,0,14423
Weipa (T),0,0,3077,0,0,96,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,5,0,0,0,8,49,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,433
